player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jerick McKinnon,8731,HB,KC,17,0.7,10,80.9,0.0,0,1,0,5.2,3,28,16,1,74.4,67.0,63.2,32.6,78.6,2.5,11,1,56,14.0,61,435,3,55,78.9,343,3.0,13,131.6,68,9,5.1,22,513,548,10.0,9.3,1.5
Richie James,28991,WR,NYG,15,7.0,2,85.1,66.7,6,9,0,5.0,3,29,21,0,75.9,27.4,71.6,68.1,72.4,0.3,1,0,33,0.5,2,368,2,57,93.5,344,84.5,311,122.0,67,4,14.9,55,569,183,3.2,10.0,1.65
Dallas Goedert,47272,TE,PHI,12,6.1,6,82.1,37.5,3,8,0,3.5,2,40,24,1,82.0,43.0,76.2,57.1,81.7,45.1,189,0,31,3.6,15,419,4,55,91.9,385,43.4,182,125.2,67,3,10.7,45,702,428,7.8,12.8,1.82
Zach Ertz,7816,TE,ARZ,10,8.0,4,71.2,38.5,5,13,0,6.0,3,24,1,0,85.8,79.7,62.5,29.6,66.6,25.8,106,1,32,1.9,8,411,5,47,91.2,375,57.7,237,100.9,66,4,13.6,56,406,136,2.9,8.6,1.08
Christian Watson,66581,WR,GB,14,14.3,4,63.1,75.0,9,12,0,10.9,5,28,12,0,50.7,80.1,77.1,,77.8,1.1,3,1,63,0.0,0,282,0,41,95.7,270,31.6,89,123.3,65,7,67.0,189,611,264,6.4,14.9,2.26
Dawson Knox,35883,TE,BUF,15,8.1,4,73.8,37.5,3,8,0,9.4,5,25,4,0,56.6,79.1,65.1,66.9,62.9,31.5,169,3,45,7.3,39,537,0,48,87.9,472,47.9,257,108.3,65,6,12.5,67,517,209,4.4,10.8,1.1
Hayden Hurst,47294,TE,CIN,13,5.3,5,80.0,66.7,8,12,0,3.7,2,25,7,0,80.7,79.7,65.0,31.0,67.2,51.5,218,1,29,2.8,12,423,3,52,91.7,388,28.1,119,97.1,65,2,18.9,80,414,188,3.6,8.0,1.07
Greg Dortch,42237,WR,ARZ,16,4.6,13,81.3,36.4,4,11,1,0.0,0,19,1,0,90.5,88.4,64.2,,67.6,0.0,0,0,47,0.0,0,366,3,52,94.5,346,82.8,303,107.1,64,2,15.8,58,461,308,5.9,8.9,1.33
DeAndre Carter,9859,WR,LAC,17,9.7,1,71.9,33.3,3,9,0,4.2,2,29,27,1,77.0,51.4,61.6,68.8,63.9,0.4,2,1,35,0.6,3,517,0,46,96.1,497,59.0,305,106.1,64,3,39.8,206,538,206,4.5,11.7,1.08
Nico Collins,61441,WR,HST,10,12.8,3,57.8,75.0,12,16,0,0.0,0,21,13,0,90.0,77.6,72.4,,72.0,0.0,0,1,58,0.0,0,305,1,37,93.8,286,9.8,30,85.5,64,2,90.2,275,481,144,3.9,13.0,1.68
Romeo Doubs,84329,WR,GB,13,9.8,1,65.6,33.3,5,15,0,10.6,5,20,12,2,51.5,23.5,62.6,,62.0,0.0,0,0,26,0.0,0,331,0,42,94.3,312,22.4,74,100.1,64,3,77.6,257,425,194,4.6,10.1,1.36
Cade Otton,61071,TE,TB,16,5.8,2,66.7,16.7,1,6,0,6.7,3,19,30,0,62.0,79.3,56.6,78.3,55.3,40.2,210,0,35,5.0,26,522,3,42,89.1,465,47.9,250,94.1,63,2,11.3,59,391,188,4.5,9.3,0.84
Noah Fant,42388,TE,SEA,17,6.9,1,79.4,0.0,0,6,0,0.0,0,24,29,0,90.5,79.5,66.0,53.9,69.0,40.6,169,0,51,9.4,39,416,2,50,84.1,350,40.4,168,120.0,63,4,14.4,60,486,226,4.5,9.7,1.39
Robert Tonyan,12193,TE,GB,17,6.0,3,84.1,50.0,3,6,1,1.9,1,20,12,0,88.0,79.8,57.7,35.3,60.5,42.8,171,2,24,2.5,10,400,3,53,92.5,370,37.8,151,95.1,63,2,19.5,78,470,244,4.6,8.9,1.27
D'Andre Swift,57212,HB,DET,14,0.4,10,76.2,0.0,0,2,0,7.7,4,17,11,1,56.6,71.7,78.1,73.9,66.0,0.0,0,0,25,8.9,24,271,0,48,87.1,236,5.9,16,107.2,63,3,10.0,27,389,457,9.5,8.1,1.65
Kalif Raymond,11028,WR,DET,17,10.0,2,75.8,42.9,3,7,0,0.0,0,24,11,1,90.3,40.8,72.1,72.0,72.7,0.6,2,0,56,0.6,2,346,0,47,93.1,322,46.0,159,106.7,62,0,52.3,181,616,227,4.8,13.1,1.91
Isaiah McKenzie,11927,WR,BUF,15,8.3,7,67.7,44.4,4,9,0,10.6,5,27,4,0,51.4,81.6,65.8,,65.7,0.0,0,2,30,0.0,0,404,0,42,94.8,383,80.2,324,95.0,62,4,19.6,79,423,129,3.1,10.1,1.1
Juwan Johnson,28305,TE,NO,16,9.8,8,68.9,36.4,4,11,0,6.7,3,24,20,0,59.1,78.3,64.7,65.6,66.5,34.9,141,2,41,5.4,22,404,2,42,90.3,365,50.0,202,118.8,61,7,14.9,60,508,163,3.9,12.1,1.39
Josh Jacobs,45953,HB,LV,17,0.4,5,86.9,100.0,1,1,0,5.4,3,16,23,1,75.7,73.8,91.6,56.3,64.8,0.0,0,0,43,19.0,85,447,0,53,76.3,341,1.1,5,94.0,61,0,7.2,32,400,381,7.2,7.5,1.17
Olamide Zaccheaus,44920,WR,ATL,17,11.8,7,65.6,40.0,2,5,1,2.4,1,25,2,1,82.3,30.0,64.6,69.4,67.4,0.0,0,0,45,0.8,3,386,3,40,93.8,362,60.9,235,109.5,61,3,38.9,150,533,202,5.1,13.3,1.47
Elijah Moore,84302,WR,NYJ,16,12.6,11,62.7,16.7,1,6,1,0.0,0,22,22,1,90.0,78.7,57.5,,58.1,0.2,1,1,42,0.0,0,514,2,37,96.3,495,49.6,255,84.4,59,1,50.2,258,446,96,2.6,12.1,0.9
Darnell Mooney,48236,WR,CHI,12,12.6,3,69.0,83.3,5,6,0,2.4,1,20,6,0,82.2,78.2,69.2,68.2,68.9,0.0,0,2,56,0.6,2,337,0,40,92.6,312,60.5,204,92.1,58,2,38.0,128,493,170,4.3,12.3,1.58
