player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Alex Boone,5372,G,MIN,14,100.0,0,18,67.1,73.5,61.9,4,11,528,100.0,100.0,98.4,5,16,1,873,0,873,0,873,556,556,0,0,317,0
Ron Leary,7338,G,DAL,14,100.0,0,9,78.3,73.8,76.5,4,21,448,100.0,100.0,97.2,4,25,0,871,0,871,0,871,473,473,0,0,398,0
Bobby Hart,9659,T,NYG,15,100.0,1,21,56.3,54.8,60.8,9,35,528,100.0,100.0,95.5,5,46,2,868,0,0,0,868,557,557,0,866,311,2
Ben Ijalana,6201,T,NYJ,16,100.0,0,22,63.8,67.7,56.5,7,28,511,100.0,100.0,95.0,4,43,8,867,0,0,504,867,537,537,0,362,330,1
Laremy Tunsil,10647,G,MIA,15,100.0,0,17,65.8,76.1,58.4,4,19,474,100.0,100.0,97.4,5,24,1,867,0,786,81,867,500,500,0,0,367,0
Zach Fulton,8828,G,KC,16,99.9,0,16,71.2,79.6,61.3,1,17,502,99.8,99.8,97.4,3,22,4,856,3,846,0,857,533,534,2,0,323,5
Joe Berger,2424,C,MIN,14,100.0,0,18,77.8,85.7,70.4,3,4,507,100.0,100.0,98.7,1,10,3,852,672,60,0,852,530,530,120,0,322,0
Joe Staley,3644,T,SF,13,100.0,0,28,81.1,77.0,76.8,6,29,480,100.0,100.0,95.5,3,39,4,845,0,0,845,845,505,505,0,0,340,0
Ronnie Stanley,10640,T,BLT,12,100.0,1,3,74.8,82.6,62.6,2,22,514,100.0,100.0,97.1,9,27,3,834,0,0,828,834,549,549,0,0,285,5
Brandon Fusco,6324,G,MIN,14,100.0,0,18,63.5,62.3,62.4,6,24,498,100.0,100.0,96.2,2,34,4,834,0,0,0,834,523,523,834,0,311,0
Quinton Spain,10110,G,TEN,14,99.8,0,31,84.2,77.6,80.8,3,16,424,99.8,99.6,97.3,7,21,2,819,0,812,4,821,463,465,1,0,356,0
Brian Winters,7853,G,NYJ,13,100.0,1,22,70.5,76.1,66.9,3,16,469,100.0,100.0,97.5,6,21,2,806,0,0,0,806,498,498,806,0,308,0
Spencer Long,8713,C,WAS,13,100.0,1,32,71.0,84.7,63.2,4,8,466,100.0,100.0,98.5,2,13,1,804,803,1,0,804,495,495,0,0,309,0
Corey Linsley,8796,C,GB,12,100.0,0,12,76.4,78.9,71.8,0,13,532,100.0,100.0,98.6,1,14,1,802,802,0,0,802,558,558,0,0,244,0
Trent Williams,5529,T,WAS,12,100.0,0,32,92.7,91.4,88.4,1,13,475,100.0,100.0,98.1,3,16,2,795,0,36,759,795,506,506,0,0,289,0
Daniel Kilgore,6315,C,SF,13,100.0,0,28,66.4,60.6,68.5,2,18,459,100.0,100.0,97.2,3,23,3,794,794,0,0,794,482,482,0,0,312,0
Austin Howard,5847,T,OAK,12,100.0,1,23,67.2,62.9,68.0,3,28,456,100.0,100.0,95.3,3,37,6,792,0,0,0,792,492,492,0,790,300,1
George Fant,11282,T,SEA,14,100.0,0,29,42.7,47.2,41.8,5,44,487,100.0,100.0,93.3,9,57,8,792,0,0,791,792,514,514,0,0,278,0
Earl Watford,7898,G,ARZ,13,100.0,1,1,49.6,38.2,56.2,4,34,455,100.0,100.0,94.1,5,46,8,788,0,0,0,788,498,498,598,189,290,0
Branden Albert,4329,T,MIA,13,100.0,0,17,61.5,71.2,50.1,10,20,426,100.0,100.0,95.5,3,34,4,786,0,0,770,786,449,449,0,0,337,16
King Dunlap,4544,T,SD,12,100.0,3,27,68.1,69.3,61.9,6,34,435,100.0,100.0,94.3,7,45,5,775,0,0,774,775,466,466,0,0,309,1
Jeremiah Sirles,9305,T,MIN,14,100.0,1,18,64.1,64.5,65.6,8,23,461,100.0,100.0,95.3,8,37,6,772,0,116,1,772,486,486,0,647,286,8
Travis Swanson,8711,C,DET,12,100.0,0,11,74.6,79.2,68.9,3,7,479,100.0,100.0,98.5,3,12,2,766,766,0,0,766,516,516,0,0,250,0
Graham Glasgow,10729,C,DET,13,100.0,1,11,53.7,63.1,54.5,3,24,487,100.0,100.0,96.6,7,30,3,758,323,435,0,758,518,518,0,0,240,0
Justin Pugh,7800,G,NYG,12,100.0,1,21,78.3,76.0,75.4,4,14,459,100.0,100.0,97.6,3,20,2,750,0,750,0,750,478,478,0,0,272,0
John Greco,4379,G,CLV,12,100.0,2,8,82.6,78.7,82.3,5,15,483,100.0,100.0,97.1,5,24,4,746,234,0,0,746,514,514,512,0,232,0
Donald Stephenson,7076,T,DEN,13,100.0,2,10,44.1,40.4,59.4,10,36,448,100.0,100.0,94.0,12,50,4,744,0,0,2,744,470,470,0,740,274,0
Josh Sitton,4449,G,CHI,13,100.0,0,6,82.1,91.2,72.6,0,6,440,100.0,100.0,99.3,6,6,0,734,0,732,0,734,468,468,2,0,266,0
Joshua Garnett,10662,G,SF,12,100.0,2,28,61.5,55.5,63.4,2,33,428,100.0,100.0,95.2,7,38,3,716,0,0,0,716,451,451,716,0,265,0
Cameron Erving,9452,C,CLV,13,100.0,1,8,46.6,56.1,49.3,5,21,464,100.0,100.0,96.3,8,30,4,700,659,0,0,700,489,489,0,41,211,0
Laken Tomlinson,9461,G,DET,13,100.0,0,11,57.3,70.1,49.8,2,17,440,100.0,100.0,97.2,3,22,3,699,0,634,0,699,473,473,65,0,226,0
Allen Barbre,3735,G,PHI,12,100.0,1,24,79.0,75.6,78.0,4,15,399,100.0,100.0,96.9,6,22,3,672,0,467,13,672,424,424,0,191,248,1
Cedric Ogbuehi,9454,T,CIN,14,98.8,1,7,60.6,53.0,66.6,3,31,398,98.0,98.1,93.5,3,43,9,669,0,0,72,677,424,432,0,583,245,9
Jack Mewhort,8694,G,IND,10,100.0,0,14,66.8,75.7,60.7,1,17,410,100.0,100.0,97.8,3,18,0,666,0,666,0,666,442,442,0,0,224,0
Senio Kelemete,7144,G,NO,15,99.8,0,20,63.0,61.9,63.3,0,22,404,99.8,99.8,96.8,4,24,2,663,0,605,0,664,426,427,14,27,237,17
Wesley Johnson,8808,C,NYJ,13,100.0,1,22,63.3,72.4,60.1,3,6,363,100.0,100.0,98.2,3,11,2,657,609,46,0,657,382,382,0,0,275,2
Cordy Glenn,7045,T,BUF,11,100.0,1,4,78.1,86.0,67.2,0,16,365,100.0,100.0,97.5,7,17,1,657,0,0,600,657,397,397,0,0,260,56
Daryl Williams,9535,T,CAR,13,100.0,0,5,67.5,63.8,65.0,7,22,364,100.0,100.0,95.7,1,30,1,647,0,0,9,647,388,388,6,625,259,7
John Wetzel,8088,T,ARZ,14,100.0,0,1,58.9,53.3,62.0,11,19,380,100.0,100.0,95.5,2,32,2,647,0,107,397,647,418,418,142,0,229,0
Bradley Sowell,7693,T,SEA,11,100.0,1,29,53.3,55.4,54.9,8,27,385,100.0,100.0,94.4,8,39,4,629,0,0,381,629,406,406,0,246,223,2
Stefen Wisniewski,6200,G,PHI,12,100.0,0,24,75.4,73.3,71.4,3,10,364,100.0,100.0,97.9,1,14,1,606,0,588,0,606,383,383,5,0,223,12
Denzelle Good,9688,G,IND,11,100.0,1,14,64.7,56.2,67.0,5,17,381,100.0,100.0,95.5,4,28,6,605,0,0,0,605,406,406,604,0,199,0
Spencer Drango,10802,G,CLV,14,99.8,0,8,72.3,68.9,69.9,7,15,386,99.7,99.8,95.6,0,28,6,598,0,571,3,599,407,408,13,3,191,9
Cody Wichmann,9648,G,LA,11,100.0,0,26,67.8,68.2,66.3,4,15,359,100.0,100.0,96.8,2,21,2,594,0,0,0,594,379,379,594,0,215,0
