player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Aaron Donald,8648,DI,LA,17,13,2,,1,0,26,0,0,49.8,90.8,62.5,91.5,71.7,56.3,14,63,0,0,,7.8,4,0,3,0.0,0,10,0,13,0,2,916,903,19,349,72,463,0,13,596,318,0,34,34,8,0,87,0,0,0,
C.J. Mosley,8652,LB,NYJ,17,50,2,80.3,0,2,22,1,0,90.6,82.9,30.1,72.9,63.8,73.7,2,4,0,1,43,8.8,15,5,4,101.4,53,1,0,1053,1,600,1127,29,0,0,29,0,7,1098,41,486,37,60,105,5,66,7,1,570,416,10.8
Jason Verrett,8660,CB,SF,1,0,0,100.0,0,0,28,0,0,45.5,45.1,68.9,,60.0,,0,0,0,0,6,,0,0,0,131.3,1,0,0,0,0,4,5,0,0,0,0,0,0,5,0,1,5,0,0,0,1,0,1,6,0,6.0
Jimmie Ward,8665,S,HST,10,14,0,77.4,0,1,13,0,0,67.8,68.4,13.1,50.7,73.9,83.9,0,0,0,1,53,5.5,3,2,3,93.1,24,0,0,124,3,314,506,9,0,0,9,0,199,497,5,187,171,11,38,0,31,0,0,297,127,12.4
Bradley Roby,8666,CB,PHI,10,2,0,60.5,0,1,24,0,0,57.0,56.9,82.8,68.2,50.2,31.1,1,1,0,0,26,25.0,8,0,0,70.9,23,0,0,37,17,254,379,8,0,0,8,0,1,371,6,119,316,13,22,2,38,2,0,168,122,7.3
DeMarcus Lawrence,8669,ED,DAL,18,14,3,100.0,1,1,9,0,0,64.9,91.0,57.8,79.3,92.2,49.7,5,39,0,0,1,13.3,8,0,3,118.8,1,4,0,12,0,8,647,635,7,42,507,79,0,12,401,238,0,32,38,8,1,48,1,1,1,1.0
Kyle Van Noy,8675,ED,BLT,16,6,2,83.3,0,2,3,0,0,69.5,75.0,61.0,77.2,55.7,54.4,3,41,0,0,9,16.7,5,1,2,81.3,5,9,0,15,3,43,562,541,0,0,541,0,0,21,376,143,3,24,19,2,6,53,0,21,16,4.2
Jerick McKinnon,8731,HB,KC,1,0,0,,0,0,16,0,0,,60.0,60.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
DaQuan Jones,8747,DI,BUF,9,9,0,,0,0,4,0,0,60.0,82.9,57.6,80.9,74.6,29.6,3,14,0,0,,22.7,5,0,1,0.0,0,3,0,2,0,0,240,238,29,181,0,28,0,2,152,88,0,10,8,2,0,20,0,0,0,
Brent Urban,8769,DI,BLT,19,4,2,0.0,0,0,3,1,0,62.8,63.0,86.2,58.5,60.9,38.7,2,8,0,0,,15.4,4,0,0,39.6,0,3,0,0,0,2,309,309,0,114,111,84,0,0,161,146,0,15,18,1,1,13,0,0,0,
