player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Johnny Holton,11354,WR,PIT,16,59.7,0,25,47.4,,64.9,0,0,0,0.0,0.0,,1,0,0,160,0,0,0,268,0,107,0,0,160,6
Danny Amendola,4717,WR,DET,15,24.9,0,11,71.5,,65.6,0,0,0,0.0,0.0,,1,0,0,160,0,0,0,642,0,482,0,0,160,1
Greg Mancz,10019,G,HST,4,100.0,0,13,56.9,63.8,55.1,0,4,110,100.0,100.0,96.4,1,6,2,157,46,0,0,157,119,119,111,0,38,0
Forrest Lamp,11793,G,LAC,7,100.0,0,27,59.3,60.4,56.3,0,10,101,100.0,100.0,95.0,1,10,0,157,0,141,6,157,109,109,0,0,48,10
Calvin Ridley,48262,WR,ATL,13,21.8,1,2,74.9,,66.7,0,0,0,0.0,0.0,,4,0,0,155,0,0,0,712,0,555,0,0,155,1
Jaron Brown,8128,WR,SEA,14,41.4,0,29,57.2,63.4,54.5,0,1,5,2.5,2.2,90.0,2,1,0,155,0,0,0,374,5,224,0,0,150,14
Patrick Omameh,8277,T,NO,10,99.4,0,20,57.9,75.4,42.9,1,7,75,98.7,98.8,93.3,1,9,1,155,0,0,123,156,79,80,1,6,76,26
Cedric Ogbuehi,9454,T,JAX,12,99.4,0,15,67.0,61.8,64.9,0,3,59,98.3,98.5,97.5,0,3,0,155,0,0,96,156,65,66,0,0,90,59
Dante Pettis,48113,WR,SF,11,49.5,0,28,56.4,,65.2,0,0,0,0.0,0.0,,1,0,0,155,0,0,0,313,0,158,0,0,155,3
Alec Ingold,34934,FB,OAK,16,73.8,0,23,67.5,87.1,57.8,0,0,13,22.8,22.4,100.0,0,0,0,155,0,0,0,210,13,58,0,0,142,23
Alex Light,31454,T,GB,8,100.0,1,12,46.8,45.2,44.6,0,10,85,100.0,100.0,94.1,1,10,0,151,0,0,4,151,97,97,0,145,54,2
Tre'Quan Smith,48228,WR,NO,11,32.9,0,20,65.2,76.5,82.9,0,0,3,1.1,1.0,100.0,3,0,0,151,0,0,0,459,3,311,0,0,148,12
Case Keenum,7323,QB,WAS,10,33.7,1,32,55.0,,60.0,0,0,0,0.0,0.0,,2,0,0,151,0,0,0,448,0,291,0,0,151,0
Rashod Hill,11369,T,MIN,7,100.0,0,18,61.0,80.0,48.7,1,0,64,100.0,100.0,99.2,0,1,0,150,0,0,128,150,69,69,0,22,81,0
Demaryius Thomas,5547,WR,NYJ,11,32.5,1,22,65.9,62.4,36.7,0,0,1,0.3,0.3,100.0,2,0,0,149,0,0,0,459,1,311,0,0,148,1
