player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Antonio Gates,1609,TE,SD,14,8.6,5,62.4,,0,0,0,11.7,7,34,27,1,52.7,38.1,73.2,56.6,71.1,20.5,90,3,27,5.7,25,440,2,53,88.4,389,57.5,253,93.7,85,7,20.0,88,548,191,3.6,10.3,1.41
Jordan Reed,7866,TE,WAS,12,8.1,12,77.6,50.0,3,6,0,1.5,1,42,32,1,90.2,81.0,83.6,60.4,88.0,45.4,178,2,33,5.9,23,392,3,66,88.8,348,31.9,125,114.0,85,6,22.2,87,686,260,3.9,10.4,1.97
Eli Rogers,9878,WR,PIT,16,9.0,5,74.4,100.0,1,1,1,4.7,3,30,25,1,77.3,27.3,65.6,,66.3,0.0,0,3,39,0.0,0,500,3,61,94.8,474,85.6,428,96.9,82,3,14.2,71,706,251,4.1,11.6,1.49
Martellus Bennett,4375,TE,NE,19,6.0,10,80.5,57.1,4,7,1,4.3,3,36,19,0,73.5,81.3,75.5,72.1,77.7,46.4,282,0,58,19.4,118,608,6,66,76.3,464,37.5,228,135.7,82,7,16.1,98,799,462,7.0,12.1,1.72
Charles Clay,6326,TE,BUF,15,8.6,5,70.4,75.0,3,4,2,10.9,7,22,4,0,46.1,80.4,68.2,70.2,62.8,69.7,356,0,40,13.3,68,511,3,57,81.6,417,23.1,118,105.6,81,4,5.1,26,552,194,3.4,9.7,1.32
Jermaine Kearse,7428,WR,SEA,18,12.6,5,54.3,50.0,1,2,1,6.4,3,25,29,0,70.0,78.9,55.5,78.1,55.3,0.0,0,4,36,0.8,5,635,8,44,94.0,597,29.0,184,58.3,81,1,71.0,451,532,152,3.5,12.1,0.89
Jared Cook,5012,TE,GB,13,11.4,3,59.3,0.0,0,1,0,9.4,5,32,12,1,56.3,34.5,76.1,77.6,76.2,30.3,109,0,47,6.4,23,360,2,48,88.1,317,49.4,178,95.0,81,3,14.7,53,606,196,4.1,12.6,1.91
Kenny Stills,7926,WR,MIA,17,15.4,5,58.8,0.0,0,3,3,6.0,3,35,17,0,70.9,79.1,68.8,,70.0,0.0,0,5,74,0.0,0,536,6,47,95.9,514,39.9,214,104.6,80,9,60.1,322,808,191,4.1,17.2,1.57
Coby Fleener,7038,TE,NO,16,9.8,1,62.5,40.0,2,5,1,5.7,3,28,20,2,58.1,24.5,61.2,82.5,59.2,22.2,114,3,50,2.5,13,513,3,50,92.4,474,57.1,293,83.9,80,3,20.7,106,631,192,3.8,12.6,1.33
Seth Roberts,9079,WR,OAK,17,9.7,10,48.8,0.0,0,2,0,20.4,10,22,23,0,28.7,78.4,56.1,61.4,52.8,4.4,26,1,41,0.5,3,590,6,39,91.5,540,80.7,476,79.1,80,5,14.9,88,398,209,5.4,10.2,0.74
Cameron Brate,9207,TE,TB,15,10.1,3,73.1,60.0,3,5,0,3.4,2,40,30,1,82.5,41.8,80.5,74.8,81.1,27.5,129,0,38,5.8,27,469,0,57,85.9,403,60.8,285,132.4,78,8,9.8,46,660,148,2.6,11.6,1.64
Ryan Griffin,7982,TE,HST,18,8.0,4,67.9,75.0,3,4,0,8.6,5,21,13,1,61.3,40.0,57.1,65.0,56.0,30.4,108,2,45,4.2,15,355,3,53,89.9,319,62.0,220,81.7,78,2,7.3,26,471,167,3.2,8.9,1.48
Chris Hogan,6468,WR,NE,18,14.6,5,71.4,20.0,1,5,3,5.2,3,38,19,1,67.9,42.6,65.8,66.8,65.6,0.0,0,1,79,0.2,1,641,5,55,92.8,595,39.3,252,134.3,77,6,60.1,385,1012,298,5.4,18.4,1.7
Adam Humphries,10075,WR,TB,15,5.8,6,71.4,75.0,6,8,0,5.2,3,27,30,0,76.7,68.1,66.0,67.8,65.8,1.5,7,3,42,0.4,2,480,1,55,91.7,440,75.8,364,87.7,77,2,22.3,107,622,393,7.1,11.3,1.41
Gary Barnidge,4455,TE,CLV,16,7.7,1,71.4,50.0,1,2,0,6.8,4,34,8,0,69.4,80.2,68.6,79.4,67.6,64.3,429,0,43,19.5,130,667,0,55,76.3,509,24.1,161,103.4,77,2,6.7,45,612,211,3.8,11.1,1.2
Tajae Sharpe,10774,WR,TEN,16,13.4,2,53.2,63.6,7,11,0,4.7,2,27,31,0,74.8,78.5,60.8,,60.4,0.2,1,1,34,0.0,0,522,3,41,92.5,483,8.0,42,77.9,77,2,91.8,479,522,88,2.1,12.7,1.08
Tyler Boyd,10689,WR,CIN,16,9.0,2,71.1,50.0,1,2,0,5.3,3,33,7,1,74.0,80.4,65.1,64.9,64.4,0.8,4,3,30,0.2,1,510,1,54,94.3,481,88.4,451,82.3,76,1,10.8,55,603,213,3.9,11.2,1.25
Jeremy Maclin,4942,WR,KC,13,12.2,3,60.5,57.1,4,7,0,13.2,7,31,16,0,40.7,79.1,61.8,67.5,64.5,0.2,1,3,44,0.2,1,440,1,46,95.2,419,45.0,198,75.8,76,2,54.8,241,564,137,3.0,12.3,1.35
Robbie Chosen,11254,WR,NYJ,16,16.9,4,56.0,50.0,2,4,0,12.5,6,18,22,1,39.2,34.3,58.0,,56.4,1.7,8,5,52,0.0,0,476,1,42,95.6,455,11.1,53,62.5,75,2,86.8,413,587,118,2.8,14.0,1.29
Brian Quick,7037,WR,LA,16,12.7,4,54.7,50.0,3,6,2,10.9,5,21,26,0,52.6,78.4,60.5,65.7,61.3,0.0,0,3,65,0.2,1,470,6,41,93.6,440,33.4,157,75.6,75,3,66.6,313,564,172,4.2,13.8,1.28
Michael Floyd,7019,WR,NE,16,15.1,1,50.7,25.0,2,8,1,11.6,5,32,19,0,49.9,78.0,65.6,86.4,63.4,0.0,0,4,39,0.8,4,530,7,38,91.7,486,26.6,141,71.9,75,5,73.4,389,497,78,2.1,13.1,1.02
Lance Kendricks,6199,TE,LA,16,5.4,5,67.6,33.3,1,3,0,12.3,7,22,26,1,40.7,38.8,63.7,68.6,61.6,63.6,322,4,44,24.7,125,506,2,50,70.4,356,25.3,128,73.0,74,2,9.5,48,499,273,5.5,10.0,1.4
Devonta Freeman,8738,HB,ATL,19,1.5,12,87.7,100.0,1,1,0,4.5,3,27,2,0,78.8,87.1,76.4,56.5,76.4,0.2,1,1,53,16.2,70,431,0,64,80.0,345,6.0,26,110.6,73,3,9.5,41,630,567,8.9,9.8,1.83
Will Tye,10070,TE,NYG,17,6.5,10,71.2,50.0,2,4,1,5.5,3,17,21,0,73.2,79.6,57.9,64.7,57.8,73.8,330,4,51,5.8,26,447,1,52,89.7,401,19.2,86,69.5,73,1,4.0,18,461,230,4.4,8.9,1.15
Jesse James,9593,TE,PIT,19,7.3,2,69.4,66.7,2,3,0,7.4,4,27,25,0,58.8,79.5,64.8,64.2,56.5,69.7,407,4,26,15.1,88,584,3,50,80.5,470,26.5,155,78.2,72,3,3.1,18,475,180,3.6,9.5,1.01
Jack Doyle,8520,TE,IND,16,6.6,4,81.9,100.0,1,1,1,4.8,3,32,14,1,77.0,43.4,75.1,57.0,75.5,35.6,167,2,24,16.2,76,469,5,59,79.1,371,46.3,217,112.0,72,5,7.9,37,584,240,4.1,9.9,1.57
Victor Cruz,5827,WR,NYG,16,11.7,5,59.2,66.7,4,6,0,10.6,5,26,21,1,51.5,29.9,61.0,65.5,59.8,0.2,1,1,48,0.2,1,523,1,42,94.6,495,5.9,31,86.4,71,1,93.9,491,616,211,5.0,14.7,1.24
Robert Woods,7822,WR,BUF,13,11.3,3,71.8,100.0,4,4,0,5.6,3,32,4,0,59.3,79.7,71.4,,71.5,0.8,3,1,34,0.0,0,382,4,51,92.9,355,50.5,193,96.7,71,1,48.4,185,613,127,2.5,12.0,1.73
Travis Benjamin,7100,WR,SD,14,13.3,6,66.2,60.0,3,5,2,9.6,5,26,27,3,55.3,36.4,67.2,,67.3,0.0,0,2,54,0.0,0,414,2,47,95.9,397,33.1,137,104.0,71,4,66.2,274,677,250,5.3,14.4,1.71
Bilal Powell,6278,HB,NYJ,16,-0.5,13,84.1,50.0,1,2,0,4.9,3,22,22,1,76.3,76.0,77.8,63.3,63.7,0.8,3,1,22,14.2,55,387,0,58,81.9,317,10.6,41,93.7,69,2,8.5,33,388,423,7.3,6.7,1.22
Chris Conley,9509,WR,KC,17,10.6,1,67.6,83.3,5,6,0,6.1,3,30,16,1,69.2,32.9,61.5,,59.8,0.2,1,2,39,0.0,0,568,1,46,95.1,540,13.7,78,79.8,68,0,86.1,489,549,162,3.5,11.9,1.02
Duke Johnson Jr.,9510,HB,CLV,16,1.8,21,77.9,0.0,0,1,0,5.4,3,23,8,1,74.0,35.3,64.6,68.9,71.0,0.0,0,2,32,20.6,77,374,0,53,74.1,277,7.0,26,85.9,68,0,5.6,21,514,435,8.2,9.7,1.86
Terrance Williams,7855,WR,DAL,17,12.7,6,71.6,80.0,4,5,1,4.0,2,38,9,1,78.4,35.3,73.0,60.9,71.5,1.0,5,0,47,0.2,1,512,2,48,94.3,483,12.7,65,122.9,67,4,85.7,439,662,183,3.8,13.8,1.37
Dorial Green-Beckham,9473,WR,PHI,15,10.2,5,53.7,100.0,1,1,0,14.3,6,25,24,0,40.4,77.7,59.9,,60.5,0.0,0,2,26,0.0,0,446,5,36,94.6,422,6.5,29,68.8,67,2,93.5,417,392,147,4.1,10.9,0.93
