player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0017638,37.0,MISSING,0.0,2010,Chiefs,0.05,58.80%,Casey Wiegmann,C,100.0,1.0,16.0,73.8,70.9,71.2,10.0,14.0,546.0,100.0,100.0,97.8,2.0,24.0,0.0,1143.0,1143.0,0.0,0.0,1143.0,579.0,579.0,0.0,0.0,564.0,0.0,84353.4,69.5
00-0024188,27.0,MISSING,0.0,2010,Chiefs,0.05,58.80%,Rudy Niswanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026199,25.0,MISSING,166.95108740594816,2010,Colts,0.06,58.80%,Mike Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027729,22.0,MISSING,82.81039924286793,2010,Colts,0.06,58.80%,Jacques McClendon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024376,27.0,MISSING,37.93032026209817,2010,Colts,0.06,58.80%,Michael Toudouze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024413,26.0,MISSING,22.22573637473818,2010,Colts,0.06,58.80%,Charlie Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027153,24.0,MISSING,15.8679384827685,2010,Colts,0.06,58.80%,Jaimie Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026376,25.0,MISSING,14.357904486301692,2010,Colts,0.06,58.80%,Jamey Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020399,31.0,MISSING,13.962061044326852,2010,Colts,0.06,58.80%,Ryan Diem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027469,23.0,MISSING,0.0,2010,Colts,0.06,58.80%,Jeff Linkenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
