,Player,Team,Position,Cap_Space,year
411,Flozell Adams,Steelers,T,2.0325203252032518,2010
412,Jim Kleinsasser,Vikings,TE,2.0325203252032518,2010
413,Jimmy Kennedy,Vikings,DT,2.0325203252032518,2010
414,Luke McCown,Jaguars,QB,2.0325203252032518,2010
415,Ryan Lilja,Chiefs,C,2.027439024390244,2010
416,Benjamin Watson,Browns,TE,2.005419512195122,2010
417,Jason Hanson,Lions,K,1.991869918699187,2010
418,Lawrence Timmons,Steelers,ILB/LB,1.9904471544715445,2010
419,Amobi Okoye,Texans,DT,1.9776422764227641,2010
420,Chris Spencer,Seahawks,G,1.967479674796748,2010
421,Israel Idonije,Bears,DE,1.951219512195122,2010
422,Keith Brooking,Cowboys,LB,1.951219512195122,2010
423,Jared Gaither,Ravens,T,1.9479674796747968,2010
424,LeRon McClain,Ravens,FB,1.9479674796747968,2010
425,Steve Breaston,Cardinals,WR,1.9479674796747968,2010
426,Evander Hood,Steelers,DT,1.9417504065040652,2010
427,Rob Sims,Lions,G,1.9317073170731707,2010
428,Vonta Leach,Texans,FB,1.9308943089430894,2010
429,Ron Edwards,Chiefs,DT,1.9105691056910568,2010
430,Will Allen,Dolphins,S,1.8943089430894309,2010
431,Carnell Williams,Buccaneers,RB,1.8726829268292684,2010
432,Chris Gocong,Browns,LB,1.8699186991869918,2010
433,Shaun Hill,49ers,QB,1.8699186991869918,2010
434,Mark Clayton,Rams,WR,1.8512195121951218,2010
435,Rolando McClain,Raiders,ILB/LB,1.83739837398374,2010
436,Heath Farwell,Vikings,ILB/LB,1.8292682926829267,2010
437,Kyle Williams,Bills,DT,1.8292682926829267,2010
438,Josh Scobee,Jaguars,K,1.8089430894308942,2010
439,Phillip Merling,Dolphins,DE,1.8008130081300815,2010
440,Aaron Maybin,Bills,OLB/LB,1.7987804878048779,2010
441,Brady Poppinga,Packers,LB,1.7987804878048779,2010
442,Todd McClure,Falcons,C,1.788617886178862,2010
443,Leon Hall,Bengals,CB,1.7784552845528454,2010
