,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
58,Corey Williams,DET,DI,773,1897,16,6,2,1,1,11,0,0,59.6,0.0,70.1,59.3,70.1,7,21,8.6,3,13,30.6,3,773,39,732,0,1,24,26,4,31,Lions,2010,46070.8,
59,Craig Terrill,SEA,DI,380,1907,14,4,1,1,0,29,0,0,54.7,49.3,54.8,59.0,72.8,3,2,18.2,2,2,56.3,0,380,43,315,0,22,2,5,0,5,Seahawks,2010,20786.0,
60,Tommy Kelly,OAK,DI,835,2093,16,15,1,2,0,23,0,0,62.1,9.9,75.9,58.0,80.3,7,29,3.9,2,10,104.2,7,835,34,792,0,9,27,34,3,43,Raiders,2010,51853.5,
61,Travis Johnson,SD,DI,194,2233,9,2,0,0,0,27,0,0,52.4,56.0,53.9,55.7,43.9,1,2,10.0,1,1,0.0,1,194,20,35,0,139,5,7,0,4,Chargers,2010,10165.6,
62,Marcus Spears,DAL,DI,259,2237,8,4,0,0,0,9,0,0,66.2,83.0,52.4,72.4,58.1,1,2,13.0,3,0,118.8,0,259,0,8,0,251,11,16,1,3,Cowboys,2010,17145.8,
63,Luis Castillo,SD,DI,614,2245,16,4,0,0,0,27,1,0,53.1,86.7,51.9,53.2,76.8,0,15,4.8,1,0,0.0,3,613,47,152,0,413,16,16,1,18,Chargers,2010,32603.4,
64,Mike Patterson,PHI,DI,589,2248,16,9,0,0,0,24,1,0,64.8,76.5,59.4,64.2,79.0,0,8,2.4,1,1,118.8,2,589,5,578,0,6,25,31,2,10,Eagles,2010,38167.2,
65,Shaun Cody,HST,DI,485,2254,16,13,0,0,0,13,0,0,60.9,86.4,60.4,55.7,78.1,1,11,2.6,1,0,79.2,0,485,49,424,0,12,20,24,4,12,Texans,2010,29536.5,
66,Jonathan Babineaux,ATL,DI,799,2276,16,4,1,0,1,2,1,1,63.2,78.9,71.0,48.3,55.2,4,24,22.6,7,0,0.0,5,799,104,692,0,2,19,20,4,33,Falcons,2010,50496.8,
67,Sione Pouha,NYJ,DI,668,2305,18,11,3,0,0,22,3,0,77.2,86.9,62.8,74.1,65.2,0,10,5.1,3,0,0.0,3,668,288,355,0,23,32,45,1,13,Jets,2010,51569.6,
