player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0033065,2020,Colts,0.4591321897073663,,27.0,99.10659753412776,0.092,64.70%,Le'Raven Clark,T,100.0,0.0,14.0,49.1,42.6,52.4,2.0,7.0,87.0,100.0,100.0,93.7,1.0,10.0,1.0,148.0,0.0,0.0,125.0,148.0,96.0,96.0,0.0,22.0,52.0,1.0,7266.8,MISSING
00-0034836,2020,Colts,0.9898662966700302,,24.0,237.31539863437845,0.092,64.70%,Braden Smith,T,100.0,0.0,14.0,80.1,74.8,79.3,1.0,23.0,496.0,100.0,100.0,97.6,3.0,24.0,0.0,937.0,0.0,0.0,0.0,937.0,531.0,531.0,0.0,931.0,406.0,6.0,75053.7,MISSING
00-0029164,2020,Chiefs,0.4477800201816347,,31.0,0.0,0.112,84.20%,Mike Remmers,T,100.0,1.0,16.0,70.1,76.4,61.9,2.0,17.0,462.0,100.0,100.0,97.9,4.0,19.0,0.0,709.0,0.0,75.0,0.0,709.0,485.0,485.0,75.0,558.0,224.0,1.0,49700.899999999994,MISSING
00-0029889,2020,Chiefs,0.012108980827447,,30.0,0.0,0.112,84.20%,Patrick Omameh,T,100.0,0.0,16.0,54.9,42.4,59.5,3.0,0.0,35.0,100.0,100.0,95.7,0.0,3.0,0.0,70.0,0.0,4.0,0.0,70.0,38.0,38.0,0.0,66.0,32.0,0.0,3843.0,MISSING
00-0027947,2020,Cowboys,3.24167507568113,,29.0,83.54826976695341,-0.101,37.50%,Tyron Smith,T,100.0,0.0,9.0,67.8,78.7,55.2,0.0,5.0,107.0,100.0,100.0,97.7,1.0,5.0,0.0,154.0,0.0,0.0,154.0,154.0,111.0,111.0,0.0,0.0,43.0,0.0,10441.2,MISSING
00-0027857,2020,49ers,6.306760847628658,,32.0,77.51117982811535,0.025,37.50%,Trent Williams,T,100.0,2.0,28.0,91.9,84.8,91.8,4.0,11.0,534.0,100.0,100.0,97.8,10.0,19.0,4.0,957.0,0.0,0.0,957.0,957.0,562.0,562.0,0.0,0.0,395.0,0.0,87948.3,MISSING
00-0034847,2020,49ers,2.569274470232089,,25.0,457.33883337413505,0.025,37.50%,Mike McGlinchey,T,100.0,1.0,28.0,79.6,58.3,91.3,11.0,21.0,615.0,100.0,100.0,96.6,5.0,37.0,5.0,1091.0,0.0,0.0,0.0,1091.0,647.0,647.0,0.0,1089.0,444.0,0.0,86843.59999999999,60.326127124907615
00-0034994,2019,Vikings,0.2851971307120085,,22.0,36.68424053372717,0.123,61.10%,Olisaemeka Udoh,T,100.0,0.0,18.0,53.4,79.7,63.7,0.0,0.0,14.0,100.0,100.0,100.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,15.0,15.0,0.0,31.0,16.0,0.0,1655.4,MISSING
00-0034687,2019,Patriots,0.3028692879914984,,24.0,12.932071904879242,0.227,70.60%,Korey Cunningham,T,100.0,0.0,19.0,58.1,63.2,61.3,0.0,1.0,26.0,100.0,100.0,98.1,1.0,1.0,0.0,59.0,0.0,0.0,0.0,59.0,31.0,31.0,0.0,59.0,28.0,0.0,3427.9,MISSING
00-0028076,2019,Patriots,2.72206004250797,,31.0,15.075635468737604,0.227,70.60%,Marcus Cannon,T,100.0,0.0,19.0,68.0,67.5,63.6,4.0,24.0,589.0,100.0,100.0,96.6,3.0,34.0,6.0,1008.0,0.0,0.0,0.0,1008.0,623.0,623.0,0.0,1008.0,385.0,0.0,68544.0,MISSING
00-0034833,2019,Patriots,1.3817391073326248,,23.0,339.25451751142253,0.227,70.60%,Isaiah Wynn,T,100.0,0.0,19.0,69.9,75.0,61.7,3.0,9.0,268.0,100.0,100.0,97.0,3.0,14.0,2.0,502.0,0.0,0.0,502.0,502.0,294.0,294.0,0.0,0.0,208.0,0.0,35089.8,MISSING
00-0035694,2019,Panthers,0.7379888416578109,,21.0,0.0,-0.146,31.30%,Greg Little,T,100.0,0.0,5.0,52.7,59.8,48.7,1.0,14.0,138.0,100.0,100.0,92.4,3.0,18.0,3.0,224.0,0.0,0.0,224.0,224.0,144.0,144.0,0.0,0.0,80.0,0.0,11804.8,MISSING
00-0035300,2019,Panthers,0.2799351753453772,,23.0,26.458860635074227,-0.146,31.30%,Dennis Daley,T,100.0,1.0,5.0,57.7,47.9,65.3,6.0,32.0,439.0,100.0,100.0,93.8,4.0,46.0,8.0,686.0,0.0,0.0,677.0,686.0,456.0,456.0,0.0,6.0,230.0,3.0,39582.2,MISSING
00-0031567,2019,Panthers,3.1880977683315623,,27.0,76.37874705959759,-0.146,31.30%,Daryl Williams,T,100.0,1.0,5.0,56.1,64.7,46.2,2.0,21.0,547.0,100.0,100.0,95.7,2.0,35.0,12.0,838.0,0.0,409.0,169.0,838.0,570.0,570.0,214.0,44.0,268.0,2.0,47011.8,MISSING
00-0033284,2019,Panthers,0.6025727948990436,,25.0,153.98648221302437,-0.146,31.30%,Taylor Moton,T,100.0,2.0,5.0,76.2,79.0,67.4,3.0,21.0,707.0,100.0,100.0,97.6,6.0,29.0,5.0,1106.0,0.0,0.0,36.0,1106.0,736.0,736.0,0.0,1057.0,370.0,13.0,84277.2,80.2664118705036
00-0034186,2019,Packers,0.3034006376195536,,23.0,0.0,0.089,77.80%,Alex Light,T,100.0,1.0,12.0,46.8,45.2,44.6,0.0,10.0,85.0,100.0,100.0,94.1,1.0,10.0,0.0,151.0,0.0,0.0,4.0,151.0,97.0,97.0,0.0,145.0,54.0,2.0,7066.799999999999,MISSING
00-0027674,2019,Packers,0.317442082890542,,32.0,26.285360235899443,0.089,77.80%,Jared Veldheer,T,100.0,0.0,12.0,69.2,83.6,56.1,0.0,0.0,23.0,100.0,100.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,24.0,24.0,0.0,35.0,11.0,0.0,2422.0,MISSING
00-0030074,2019,Packers,7.545164718384697,,27.0,38.50191553901845,0.089,77.80%,David Bakhtiari,T,100.0,0.0,12.0,78.5,89.1,66.3,7.0,26.0,633.0,100.0,100.0,97.1,11.0,35.0,2.0,1075.0,0.0,2.0,1068.0,1075.0,684.0,684.0,2.0,2.0,391.0,1.0,84387.5,78.57174787662048
00-0027875,2019,Packers,4.436769394261424,,30.0,56.0783945687889,0.089,77.80%,Bryan Bulaga,T,100.0,1.0,12.0,77.8,73.1,80.1,4.0,18.0,530.0,100.0,100.0,97.2,6.0,26.0,4.0,898.0,0.0,1.0,2.0,898.0,568.0,568.0,1.0,894.0,330.0,0.0,69864.4,MISSING
00-0027768,2019,Patriots,0.3225605738575983,,30.0,7.704717245882007,0.227,70.60%,Marshall Newhouse,T,100.0,2.0,19.0,62.6,61.9,56.2,8.0,18.0,416.0,100.0,100.0,95.4,3.0,32.0,6.0,729.0,0.0,0.0,648.0,729.0,441.0,441.0,0.0,71.0,288.0,10.0,45635.4,MISSING
00-0033863,2019,Lions,0.0534468650371944,,24.0,0.0,-0.11,20.00%,Dan Skipper,T,100.0,0.0,11.0,63.9,57.8,75.4,1.0,1.0,25.0,100.0,100.0,96.0,1.0,2.0,0.0,45.0,0.0,0.0,0.0,45.0,25.0,25.0,0.0,39.0,20.0,6.0,2875.5,MISSING
00-0034390,2019,Lions,0.3410839532412327,,23.0,57.24150064712397,-0.11,20.00%,Tyrell Crosby,T,100.0,1.0,11.0,62.4,62.5,64.7,2.0,17.0,239.0,100.0,100.0,95.2,7.0,21.0,2.0,397.0,0.0,0.0,61.0,397.0,255.0,255.0,0.0,324.0,142.0,12.0,24772.8,MISSING
00-0032381,2019,Lions,1.854141870350691,,26.0,329.2216575409153,-0.11,20.00%,Taylor Decker,T,100.0,2.0,11.0,75.9,76.3,69.1,4.0,24.0,606.0,100.0,100.0,96.7,10.0,34.0,6.0,1017.0,0.0,0.0,1017.0,1017.0,653.0,653.0,0.0,0.0,364.0,0.0,77190.3,MISSING
00-0035698,2019,Jets,0.3781880977683315,,22.0,0.0,-0.133,43.80%,Chuma Edoga,T,100.0,1.0,22.0,49.5,53.8,53.4,4.0,12.0,244.0,100.0,100.0,94.3,6.0,22.0,6.0,421.0,0.0,0.0,185.0,421.0,270.0,270.0,0.0,236.0,151.0,0.0,20839.5,MISSING
00-0029316,2019,Jets,5.047821466524974,,30.0,4.188548730816786,-0.133,43.80%,Kelvin Beachum,T,100.0,2.0,22.0,67.1,72.7,56.6,3.0,21.0,456.0,100.0,100.0,96.5,9.0,28.0,4.0,805.0,0.0,0.0,802.0,805.0,489.0,489.0,2.0,0.0,316.0,1.0,54015.49999999999,MISSING
