,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Team,Year,weighted_grade,weighted_average_grade
64,Jarrad Page,NE,S,186,3173,10,2,0,0,19,0,63.5,67.2,78.4,46.2,2,0,23.1,3,0,0,45.8,7,141,24,136,18,2,8,0,12,0,100,Patriots,2010,12499.2,
65,Abram Elam,CLV,S,1047,3301,16,8,0,2,8,1,62.4,64.1,85.3,79.4,2,0,10.3,8,6,0,77.1,19,766,257,517,15,13,62,2,33,2,254,Browns,2010,67112.7,
66,Steve Gregory,SD,S,354,3326,9,8,0,0,27,0,52.1,53.3,81.8,64.3,2,0,15.7,8,1,0,71.1,13,228,103,192,12,14,35,1,18,1,129,Chargers,2010,18868.2,
67,Chris Reis,NO,S,10,3478,1,1,0,0,20,0,73.1,82.9,72.1,80.0,0,0,0.0,0,0,0,83.3,1,1,8,4,1,1,2,0,1,0,4,Saints,2010,829.0,
68,LaRon Landry,WAS,S,645,3622,9,5,0,1,32,1,56.7,70.3,56.7,85.2,1,0,8.3,7,6,1,106.1,27,390,208,366,42,26,72,6,43,3,393,Commanders,2010,45343.5,
69,Michael Griffin,TEN,S,1179,3635,16,15,0,2,31,2,48.3,61.0,86.0,52.4,4,0,14.3,17,5,4,64.2,35,834,284,683,49,24,87,3,58,1,485,Titans,2010,71919.0,
70,Reggie Nelson,CIN,S,489,3637,11,9,0,1,7,0,50.3,55.2,81.0,82.7,2,0,6.3,3,4,2,30.4,9,427,38,295,22,5,36,0,20,0,146,Bengals,2010,26992.800000000003,
71,Brandon Meriweather,NE,S,930,3640,17,10,0,0,19,0,33.8,42.7,57.0,76.8,3,0,9.5,6,2,3,100.7,20,854,61,591,10,6,47,1,30,3,355,Patriots,2010,39711.0,
72,Eric Weddle,SD,S,957,3653,16,13,0,0,27,0,73.5,83.7,84.5,70.3,2,1,11.9,13,8,0,80.2,19,732,186,548,37,25,83,5,31,2,241,Chargers,2010,80100.90000000001,
73,Gerald Alexander,CAR,S,187,3677,3,5,0,0,5,1,58.0,61.3,78.1,62.3,0,0,14.3,3,2,0,125.2,7,157,27,102,3,7,13,0,11,1,105,Panthers,2010,11463.1,
74,Sabby Piscitelli,CLV,S,143,3680,9,0,0,0,8,0,54.0,53.2,78.6,64.0,1,0,11.8,2,0,0,118.8,6,94,42,78,7,3,15,0,6,2,104,Browns,2010,7607.6,
75,Usama Young,NO,S,201,3682,10,1,0,0,20,0,62.8,61.2,78.6,41.1,0,0,25.0,5,2,0,78.0,6,161,34,120,5,3,14,1,9,0,44,Saints,2010,12301.2,
76,Tanard Jackson,TB,S,129,3722,2,1,0,0,30,0,56.2,50.3,76.9,52.3,0,0,18.2,2,0,0,65.5,5,106,19,72,1,4,8,2,9,0,37,Buccaneers,2010,6488.7,
77,Dashon Goldson,SF,S,1011,3742,16,10,0,0,28,0,47.0,55.9,14.1,64.2,1,1,11.8,10,3,3,92.7,20,883,103,586,12,15,65,1,37,2,345,49ers,2010,56514.9,
78,Eric Frampton,MIN,S,34,3781,1,2,0,0,18,0,30.7,37.5,71.9,81.5,0,0,0.0,0,0,0,60.4,1,34,0,14,0,1,2,1,2,0,8,Vikings,2010,1275.0,
79,John Wendling,DET,S,55,3800,3,3,0,0,11,0,54.0,56.2,75.4,85.5,0,0,0.0,0,0,0,118.8,1,35,17,34,3,2,4,0,1,0,13,Lions,2010,3091.0,
80,Michael Johnson,NYG,S,7,3840,1,0,0,0,21,0,60.5,64.5,67.7,75.2,0,0,0.0,0,0,0,0.0,0,7,0,2,0,0,1,0,0,0,0,Giants,2010,451.5,
81,Alan Ball,DAL,S,970,3853,16,4,1,1,9,0,29.6,39.0,83.2,77.0,2,0,8.3,4,1,2,105.2,17,881,59,599,10,4,40,0,27,7,272,Cowboys,2010,37830.0,
82,Nedu Ndukwe,CIN,S,530,3869,12,5,0,0,7,1,54.4,66.8,83.3,68.7,1,0,11.3,6,1,1,82.9,17,344,150,290,36,16,42,1,23,0,206,Bengals,2010,35404.0,
83,Tyron Brackenridge,JAX,S,52,3897,6,0,0,0,15,0,41.9,39.6,76.0,82.0,0,0,0.0,0,0,0,113.5,3,21,14,28,16,1,4,0,4,0,47,Jaguars,2010,2059.2000000000003,
84,Melvin Bullitt,IND,S,224,3901,4,1,0,0,14,0,50.2,48.7,79.1,59.5,1,0,14.3,2,0,0,10.8,2,176,46,118,1,5,11,0,5,0,18,Colts,2010,10908.800000000001,
85,Craig Dahl,SL,S,907,3920,15,4,0,2,26,1,41.1,46.8,85.1,60.0,2,0,14.9,14,3,1,81.9,28,619,244,528,44,24,76,8,44,1,403,Rams,2010,42447.6,
86,James Ihedigbo,NYJ,S,119,4147,14,0,0,0,22,0,60.6,50.7,0.0,55.2,0,0,20.0,2,0,1,133.3,3,6,102,55,9,6,8,1,4,1,28,Jets,2010,6033.3,
87,Quinton Teal,SD,S,1,4234,1,0,0,0,27,0,60.0,60.0,62.9,,0,0,,0,1,0,39.6,0,1,0,1,0,0,0,0,1,0,0,Chargers,2010,60.0,
88,Paul Oliver,SD,S,691,4262,16,13,1,1,27,2,66.6,71.2,85.4,62.7,1,0,15.4,10,3,1,80.7,16,394,272,416,13,8,42,1,29,2,167,Chargers,2010,49199.200000000004,
89,Kenny Phillips,NYG,S,943,4345,16,11,0,0,21,3,67.0,73.8,58.1,89.1,1,0,6.5,5,2,3,105.1,16,712,204,579,25,18,61,1,26,2,263,Giants,2010,69593.4,
90,Tyrell Johnson,MIN,S,78,4357,6,1,0,0,18,0,46.0,46.7,75.3,81.5,0,0,0.0,0,0,0,39.6,0,64,11,44,1,0,3,0,2,0,0,Vikings,2010,3642.6000000000004,
91,Charles Godfrey,CAR,S,1103,4381,16,13,1,1,5,0,46.6,55.3,62.2,66.1,4,0,10.4,10,1,2,91.5,31,784,267,583,44,26,73,3,49,4,512,Panthers,2010,60995.899999999994,
92,Reggie Smith,SF,S,548,4389,13,4,0,0,28,0,56.7,60.4,81.6,49.1,1,0,22.0,9,4,1,66.1,13,469,66,331,4,6,28,2,27,1,175,49ers,2010,33099.2,
93,Tom Zbikowski,BLT,S,323,4400,6,0,0,0,3,0,63.2,67.1,19.9,83.3,0,0,6.3,1,0,1,102.1,2,286,34,181,3,3,15,0,3,0,32,Ravens,2010,21673.3,
94,Thomas DeCoud,ATL,S,972,4412,17,12,0,0,2,0,70.2,67.4,83.6,62.2,1,0,15.2,14,2,0,99.3,25,842,114,591,15,19,66,0,36,2,280,Falcons,2010,65512.8,
95,Tyvon Branch,OAK,S,992,4414,16,7,0,1,23,2,35.2,57.8,60.8,84.5,1,0,6.5,6,2,3,136.0,26,398,500,501,73,31,79,6,35,7,372,Raiders,2010,57337.6,
96,Dwight Lowery,NYJ,S,420,4427,17,0,0,0,22,2,79.8,76.0,83.5,48.8,3,2,17.4,4,6,0,64.7,22,209,122,280,57,5,19,0,40,1,381,Jets,2010,31920.0,
97,Dominique Barber,HST,S,34,4487,4,0,0,0,13,0,45.7,47.4,72.6,33.0,0,0,33.3,1,0,0,118.8,1,29,5,12,0,0,2,0,1,0,13,Texans,2010,1611.6,
98,Corey Lynch,TB,S,312,4491,5,3,0,0,30,0,59.2,60.1,79.1,79.5,1,0,5.6,1,1,0,95.4,3,289,18,181,2,1,14,0,5,1,52,Buccaneers,2010,18751.2,
99,Kareem Moore,WAS,S,774,4494,12,11,0,0,32,2,31.8,41.6,83.6,38.1,1,0,19.7,13,3,1,66.8,16,602,152,439,15,7,42,0,34,0,308,Commanders,2010,32198.4,
100,Ryan Mundy,PIT,S,182,4508,9,0,0,0,25,0,70.7,77.0,78.2,77.5,0,0,6.3,1,4,0,60.9,4,144,27,121,11,6,15,0,8,0,33,Steelers,2010,14014.0,
101,Haruki Nakamura,BLT,S,275,4520,18,2,1,0,3,0,53.7,53.6,11.3,54.4,1,0,15.8,3,1,2,72.9,15,78,122,165,69,4,14,0,18,0,127,Ravens,2010,14740.0,
102,Chris Horton,WAS,S,10,4563,2,0,0,0,32,0,47.0,29.9,0.0,76.7,0,0,0.0,0,0,1,118.8,1,8,2,9,0,0,1,0,1,0,28,Commanders,2010,299.0,
103,Jamar Adams,PHI,S,64,4617,1,0,0,0,24,0,66.4,68.5,75.8,80.1,0,0,0.0,0,1,0,39.6,0,42,19,34,3,0,3,0,2,0,0,Eagles,2010,4384.0,
104,Husain Abdullah,MIN,S,874,4652,15,13,0,0,18,0,48.2,63.0,83.8,77.5,3,0,9.3,7,4,0,82.2,24,704,153,510,9,14,55,3,38,3,311,Vikings,2010,55062.0,
105,Malcolm Jenkins,NO,S,821,4937,15,6,0,1,20,2,76.0,71.2,2.3,53.0,2,1,16.7,12,10,4,65.8,25,526,59,452,145,16,54,2,44,1,293,Saints,2010,58455.200000000004,
106,Louis Delmas,DET,S,900,4956,15,12,0,2,11,2,62.3,69.3,6.7,74.4,0,0,10.9,10,1,3,89.2,21,625,233,521,36,21,70,2,35,1,232,Lions,2010,62370.0,
107,Patrick Chung,NE,S,835,4957,15,9,0,0,19,0,60.7,68.2,65.8,80.6,3,1,8.0,7,5,2,92.1,39,326,165,537,334,18,71,4,58,4,453,Patriots,2010,56947.0,
108,Jairus Byrd,BUF,S,897,4965,16,17,0,3,4,1,56.2,65.8,83.7,90.2,1,1,3.8,3,3,0,99.0,16,749,127,457,18,14,59,1,27,3,168,Bills,2010,59022.6,
109,Mike Mitchell,OAK,S,497,4970,15,4,0,1,23,2,59.9,57.7,89.7,81.5,1,0,8.0,4,3,1,105.4,29,38,403,288,40,18,42,4,40,3,272,Raiders,2010,28676.9,
110,Darcel McBath,DEN,S,160,4971,6,1,0,0,10,0,44.2,47.7,79.1,72.7,0,0,7.7,1,1,0,115.6,4,100,52,109,4,1,11,0,8,1,62,Broncos,2010,7632.0,
111,William Moore,ATL,S,961,4978,16,14,0,1,2,1,51.1,53.6,0.0,67.7,5,0,13.1,13,3,5,81.5,32,691,223,575,45,19,72,5,47,4,382,Falcons,2010,51509.6,
112,Sherrod Martin,CAR,S,975,4982,15,19,0,1,5,1,80.1,69.3,58.8,63.7,1,0,14.6,13,2,1,58.8,15,825,122,526,26,23,57,2,26,0,154,Panthers,2010,67567.5,
113,Rashad Johnson,ARZ,S,376,5018,16,4,0,1,1,0,70.6,72.1,80.3,70.1,1,0,9.7,3,5,0,65.8,9,318,43,279,13,2,24,0,17,1,100,Cardinals,2010,27109.6,
114,Donald Washington,KC,S,195,5025,9,5,0,0,16,0,59.8,59.7,81.4,63.6,0,0,12.5,2,0,1,116.2,8,75,80,153,39,2,9,1,10,0,119,Chiefs,2010,11641.5,
