,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
126,Benjamin Watson,1753,CLV,TE,7.1,4,53.6,,0,0,0,14.0,6,21,8,0,39.3,77.6,63.9,80.4,61.4,85.9,366,1,34,14.8,63,426,3,37,81.2,346,9.4,40,75.2,69,2,2.8,12,410,195,5.3,11.1,1.18,63,236,418,Browns,2011,26710.2,
234,Benjamin Watson,1753,CLV,TE,6.9,7,66.2,,0,0,0,5.8,3,27,8,1,72.2,36.7,73.1,70.3,75.3,92.3,455,3,27,19.9,98,493,5,49,76.3,376,5.9,29,82.1,74,3,0.2,1,501,222,4.5,10.2,1.33,98,360,485,Browns,2012,35453.5,
364,Benjamin Watson,1753,NO,TE,11.0,1,67.7,,0,0,0,0.0,0,15,20,0,84.9,80.4,87.7,68.2,84.0,78.7,214,1,32,42.3,115,272,2,21,53.7,146,11.4,31,100.6,31,2,6.6,18,253,102,4.9,12.0,1.73,115,300,263,Saints,2013,23065.100000000002,
474,Benjamin Watson,1753,NO,TE,5.4,3,74.1,,0,0,0,13.0,3,10,20,0,49.1,80.3,63.8,69.7,53.9,71.1,209,1,15,35.0,103,294,1,20,60.5,178,19.7,58,94.1,27,2,8.8,26,136,79,4.0,6.8,0.76,103,277,293,Saints,2014,18693.399999999998,
543,Benjamin Watson,1753,NO,TE,9.3,1,72.5,,0,0,1,8.6,7,42,20,1,60.4,49.6,75.1,71.8,76.3,46.6,293,2,46,12.6,79,629,5,74,82.5,519,37.7,237,107.7,102,6,14.6,92,825,263,3.6,11.1,1.59,79,353,622,Saints,2015,46712.2,
772,Benjamin Watson,1753,BLT,TE,5.4,2,79.2,56.3,9,16,0,4.7,3,30,3,1,70.7,43.4,60.7,72.8,62.5,49.8,228,2,33,5.9,27,458,1,61,91.0,417,41.5,190,101.4,77,4,7.4,34,522,257,4.2,8.6,1.25,27,242,452,Ravens,2017,27436.4,
897,Benjamin Watson,1753,NO,TE,10.4,0,79.5,75.0,9,12,0,5.4,2,21,20,0,71.4,77.4,71.4,72.9,71.8,37.4,114,1,32,14.1,43,305,1,35,81.0,247,47.5,145,110.2,44,2,14.1,43,400,84,2.4,11.4,1.62,43,201,302,Saints,2018,21562.800000000003,
1042,Benjamin Watson,1753,NE,TE,8.5,3,73.9,100.0,3,3,0,10.5,2,9,19,0,55.6,73.9,53.6,65.2,55.1,29.1,82,0,26,12.4,35,282,4,17,84.4,238,53.5,151,95.0,23,0,16.0,45,173,88,5.2,10.2,0.73,35,186,278,Patriots,2019,14900.800000000001,
51,Billy Bajema,2466,SL,TE,6.8,2,73.7,,0,0,1,12.5,2,8,26,1,51.2,15.4,56.2,61.8,51.6,78.4,149,1,26,40.0,76,190,3,14,57.9,110,7.9,15,110.4,19,2,3.2,6,154,82,5.9,11.0,1.4,76,201,170,Rams,2010,9554.0,
169,Billy Bajema,2466,SL,TE,6.1,0,69.2,,0,0,0,18.2,2,2,26,0,38.4,70.6,53.9,56.6,39.1,87.9,211,0,19,55.4,133,240,2,9,41.3,99,4.6,11,82.5,13,0,2.9,7,71,19,2.1,7.9,0.72,133,273,229,Rams,2011,12343.1,
