player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,weighted_grade,weighted_average_grade,TE_Value,TE_Value_Score,Production_Score
00-0028903,2015,49ers,0.4955332216638749,,27.0,0.0,-0.15,31.30%,Garrett Celek,TE,6.3,1.0,73.1,MISSING,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,83.2,74.1,66.9,83.9,61.4,72.8,155.0,0.0,33.0,21.6,46.0,213.0,1.0,19.0,73.7,157.0,23.0,49.0,131.3,26.0,3.0,2.3,5.0,186.0,100.0,5.3,9.8,1.18,46.0,183.0,209.0,13982.1,MISSING,3532.1000000000013,8.830250000000003,346.0
00-0030832,2014,49ers,0.092878947368421,,22.0,0.0,-0.03,50.00%,Asante Cleveland,TE,4.0,0.0,0.0,MISSING,0.0,0.0,0.0,100.0,1.0,0.0,28.0,0.0,27.9,MISSING,39.9,72.0,33.1,66.7,10.0,0.0,0.0,26.7,4.0,15.0,1.0,0.0,66.7,10.0,6.7,1.0,39.6,1.0,0.0,20.0,3.0,0.0,0.0,MISSING,MISSING,0.0,4.0,25.0,14.0,558.6,MISSING,-141.40000000000003,-0.3535000000000001,0.0
00-0028903,2014,49ers,0.4300751879699248,,26.0,0.0,-0.03,50.00%,Garrett Celek,TE,22.5,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,68.3,64.0,91.8,75.0,91.6,92.9,13.0,0.0,31.0,28.6,4.0,14.0,0.0,2.0,64.3,9.0,7.1,1.0,118.8,2.0,0.0,0.0,0.0,53.0,8.0,4.0,26.5,5.89,4.0,21.0,14.0,1285.2,MISSING,585.1999999999999,1.4629999999999999,73.0
00-0029119,2014,49ers,0.3721804511278195,,24.0,0.0,-0.03,50.00%,Derek Carrier,TE,10.9,2.0,64.3,MISSING,0.0,0.0,0.0,0.0,0.0,4.0,28.0,1.0,77.3,20.2,69.2,75.9,59.0,67.6,69.0,1.0,23.0,12.7,13.0,102.0,1.0,9.0,81.4,83.0,23.5,24.0,57.1,14.0,0.0,5.9,6.0,105.0,39.0,4.3,11.7,1.27,13.0,85.0,99.0,6850.8,MISSING,1900.8000000000002,4.752000000000001,145.0
00-0024221,2014,49ers,5.539786466165413,,30.0,128.2748149947132,-0.03,50.00%,Vernon Davis,TE,12.1,4.0,55.3,MISSING,0.0,0.0,0.0,18.8,6.0,11.0,28.0,0.0,32.5,76.9,53.8,76.3,48.2,50.4,248.0,1.0,29.0,8.1,40.0,492.0,3.0,26.0,84.6,416.0,42.5,209.0,75.2,47.0,2.0,6.3,31.0,245.0,53.0,2.0,9.4,0.59,40.0,338.0,488.0,26254.4,MISSING,1854.3999999999987,4.635999999999997,395.0
00-0030470,2014,49ers,0.6150338345864661,,24.0,196.7752235398642,-0.03,50.00%,Vance McDonald,TE,12.3,0.0,28.6,MISSING,0.0,0.0,0.0,33.3,1.0,1.0,28.0,1.0,30.0,13.6,62.2,80.8,33.6,64.6,62.0,0.0,21.0,17.7,17.0,96.0,0.0,2.0,78.1,75.0,21.9,21.0,44.9,7.0,0.0,7.3,7.0,30.0,26.0,13.0,15.0,0.4,17.0,119.0,90.0,5598.0,MISSING,1098.0000000000002,2.7450000000000006,40.0
00-0028903,2013,49ers,0.389967637540453,,25.0,0.0,0.09,73.70%,Garrett Celek,TE,11.8,1.0,60.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,72.1,15.0,50.8,47.7,48.3,74.5,38.0,0.0,30.0,17.6,9.0,51.0,1.0,3.0,80.4,41.0,11.8,6.0,88.8,5.0,0.0,7.8,4.0,44.0,22.0,7.3,14.7,1.07,9.0,96.0,48.0,2438.3999999999996,MISSING,38.399999999999864,0.09599999999999966,54.0
00-0024221,2013,49ers,7.071129449838187,,29.0,173.15288881079596,0.09,73.70%,Vernon Davis,TE,14.5,7.0,59.4,MISSING,0.0,0.0,0.0,9.5,6.0,40.0,28.0,1.0,49.3,40.6,72.5,65.8,72.4,50.3,274.0,3.0,64.0,5.0,27.0,545.0,4.0,57.0,90.5,493.0,34.9,190.0,117.4,96.0,15.0,12.8,70.0,904.0,272.0,4.8,15.9,1.83,27.0,449.0,534.0,38715.0,MISSING,12015.0,30.0375,1604.0
00-0030470,2013,49ers,0.5294466019417475,,23.0,217.47025445409253,0.09,73.70%,Vance McDonald,TE,11.0,1.0,47.4,MISSING,0.0,0.0,1.0,25.0,3.0,6.0,28.0,0.0,29.2,70.6,55.4,63.3,43.1,61.9,166.0,0.0,25.0,14.9,40.0,268.0,2.0,9.0,82.1,220.0,22.8,61.0,70.5,19.0,0.0,8.2,22.0,132.0,58.0,6.4,14.7,0.6,40.0,307.0,249.0,13794.6,MISSING,1344.5999999999997,3.361499999999999,192.0
00-0029119,2013,49ers,0.134923139158576,,23.0,0.0,0.09,73.70%,Derek Carrier,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0028903,2012,49ers,0.3250414593698176,,24.0,0.0,0.19,72.20%,Garrett Celek,TE,7.2,1.0,66.7,MISSING,0.0,0.0,0.0,20.0,1.0,2.0,28.0,0.0,41.6,67.0,64.3,74.9,59.3,90.7,39.0,0.0,35.0,20.9,9.0,43.0,1.0,4.0,74.4,32.0,4.7,2.0,93.1,6.0,0.0,4.7,2.0,51.0,22.0,5.5,12.8,1.59,9.0,67.0,43.0,2764.9,MISSING,614.8999999999999,1.5372499999999996,71.0
00-0024389,2012,49ers,1.579601990049751,,28.0,17.460555233686605,0.19,72.20%,Delanie Walker,TE,12.5,2.0,54.2,MISSING,0.0,0.0,0.0,29.7,11.0,18.0,28.0,1.0,26.3,26.2,67.0,84.0,53.2,45.5,163.0,1.0,45.0,10.3,37.0,358.0,4.0,26.0,85.5,306.0,29.3,105.0,96.6,48.0,3.0,18.4,66.0,429.0,66.0,2.5,16.5,1.4,37.0,338.0,334.0,22378.0,MISSING,5678.0,14.195,669.0
