player,Team,Tier,Pred_XGB,Pred_Transformer,Ensemble_Pred,Conf_Lower,Conf_Upper,Vol_Index,Age_Adjustment,Last_Grade_2024,YoY_Change_Pred,Touches_2024,Age_2024
Wanya Morris,Chiefs,Reserve/Poor,54.92,52.94,53.93,41.64,66.22,0.371,0.0,53.0,0.9299999999999997,732.0,23.0
Chuma Edoga,Cowboys,Reserve/Poor,56.78,51.0,53.89,40.45,67.33,0.484,0.0,52.5,1.3900000000000006,226.0,27.0
Logan Bruss,Titans,Reserve/Poor,51.06,56.67,53.86,39.24,68.48,0.6,0.0,44.8,9.060000000000002,195.0,25.0
Mike Jerrell,Seahawks,Reserve/Poor,51.87,55.37,53.62,39.0,68.24,0.6,0.0,46.4,7.219999999999999,250.0,25.0
Layden Robinson,Patriots,Reserve/Poor,51.9,54.6,53.25,38.63,67.87,0.6,0.0,43.6,9.649999999999999,602.0,23.0
Kingsley Suamataia,Chiefs,Reserve/Poor,53.0,53.33,53.16,38.54,67.78,0.6,0.0,37.9,15.259999999999998,198.0,21.0
Ben Bredeson,Buccaneers,Reserve/Poor,52.9,53.16,53.03,38.73,67.33,0.569,0.0,56.0,-2.969999999999999,1173.0,26.0
Anthony Bradford,Seahawks,Reserve/Poor,55.84,50.19,53.01,42.56,63.47,0.192,0.0,48.9,4.109999999999999,578.0,23.0
Chris Hubbard,Giants,Reserve/Poor,56.21,54.45,52.83,37.16,68.5,0.703,2.5,46.6,6.229999999999997,257.0,33.0
Yosh Nijman,Panthers,Reserve/Poor,53.89,51.42,52.66,39.84,65.48,0.424,0.0,57.9,-5.240000000000002,187.0,28.0
Michael Dunn,Browns,Reserve/Poor,60.35,46.78,52.56,37.44,67.69,0.649,1.0,46.5,6.060000000000002,171.0,30.0
Kayode Awosika,Lions,Reserve/Poor,53.46,51.18,52.32,40.1,64.54,0.365,0.0,51.3,1.0200000000000031,145.0,25.0
Abraham Lucas,Seahawks,Reserve/Poor,51.27,52.05,51.66,37.03,66.28,0.6,0.0,61.9,-10.240000000000002,406.0,25.0
David Quessenberry,Vikings,Reserve/Poor,55.87,53.9,51.38,35.94,66.83,0.681,3.5,55.2,-3.8200000000000003,133.0,34.0
Thayer Munford Jr.,Raiders,Reserve/Poor,45.25,55.67,50.46,33.26,67.66,0.853,0.0,45.9,4.560000000000002,201.0,24.0
Vederian Lowe,Patriots,Reserve/Poor,51.68,48.96,50.32,35.31,65.33,0.638,0.0,54.0,-3.6799999999999997,803.0,25.0
Kenyon Green,Texans,Reserve/Poor,49.33,50.11,49.72,37.91,61.53,0.325,0.0,38.6,11.119999999999997,582.0,23.0
James Hudson III,Browns,Reserve/Poor,49.96,49.34,49.65,35.62,63.68,0.542,0.0,50.4,-0.75,222.0,25.0
Stone Forsythe,Seahawks,Reserve/Poor,48.64,50.02,49.33,33.44,65.22,0.724,0.0,43.1,6.229999999999997,414.0,26.0
Larry Borom,Bears,Reserve/Poor,47.9,50.58,49.24,35.04,63.45,0.559,0.0,53.8,-4.559999999999995,329.0,25.0
Sataoa Laumea,Seahawks,Reserve/Poor,44.54,53.85,49.19,34.57,63.81,0.6,0.0,36.9,12.29,355.0,23.0
Fred Johnson,Eagles,Reserve/Poor,45.11,51.57,48.34,39.57,57.11,0.026,0.0,49.3,-0.9599999999999937,490.0,27.0
Ryan McCollum,Steelers,Reserve/Poor,48.09,47.81,47.95,38.48,57.42,0.096,0.0,50.3,-2.3499999999999943,153.0,26.0
Carter Warren,Jets,Reserve/Poor,45.04,50.55,47.79,35.59,60.0,0.363,0.0,44.6,3.1899999999999977,141.0,25.0
Kiran Amegadjie,Bears,Reserve/Poor,40.21,55.06,47.63,33.01,62.25,0.6,0.0,40.3,7.330000000000005,126.0,22.0
Charlie Heck,49ers,Reserve/Poor,42.68,52.2,47.44,33.05,61.83,0.577,0.0,41.2,6.239999999999995,117.0,27.0
Joshua Ezeudu,Giants,Reserve/Poor,41.5,50.72,46.11,31.37,60.85,0.612,0.0,62.7,-16.590000000000003,182.0,24.0
Nicholas Petit-Frere,Titans,Reserve/Poor,39.58,49.59,44.58,29.64,59.53,0.632,0.0,46.5,-1.9200000000000017,621.0,24.0
