Year,Team,Net EPA,Offensive EPA per play,EPA/Play,Total EPA,Success Rate,EPA/Pass,EPA/Rush
2022,Lions,-0.011,0.073,0.05,58.46,0.44780000000000003,0.16,-0.08
2022,Dolphins,0.032,0.054,0.04,36.93,0.44,0.08,-0.04
2022,Jaguars,0.065,0.045,0.04,45.55,0.45799999999999996,0.11,-0.06
2022,Giants,-0.013,0.033,0.02,24.23,0.4426,-0.01,0.06
2022,Cowboys,0.118,0.031,0.01,10.81,0.44170000000000004,0.04,-0.02
2022,Browns,-0.016,0.013,0.0,2.97,0.4346,-0.04,0.04
2022,Steelers,-0.009,0.012,0.0,-2.1,0.4445,-0.01,0.01
2022,Raiders,-0.059,0.009,0.0,0.97,0.43090000000000006,0.01,-0.02
2022,Chargers,-0.005,0.007,0.0,-1.19,0.43329999999999996,0.01,-0.02
2022,Ravens,0.006,0.004,0.0,-2.24,0.442,-0.06,0.06
2022,Falcons,-0.061,0.002,0.0,-4.93,0.45,-0.03,0.02
2022,Packers,-0.014,0.017,-0.01,-10.54,0.451,-0.03,0.01
2022,Seahawks,-0.019,0.013,-0.01,-13.1,0.4387,0.0,-0.03
2022,Vikings,-0.001,0.004,-0.02,-17.6,0.4443,0.04,-0.11
2022,Buccaneers,-0.004,-0.03,-0.04,-51.11,0.4314,0.04,-0.22
2022,Panthers,-0.046,-0.036,-0.04,-38.66,0.4047,-0.1,0.02
2022,Saints,-0.002,-0.037,-0.05,-48.34,0.45020000000000004,0.01,-0.11
2022,Bears,-0.162,-0.039,-0.05,-48.65,0.4018,-0.23,0.09
2022,Patriots,0.038,-0.047,-0.06,-62.92,0.3996,-0.06,-0.06
2022,Titans,-0.081,-0.066,-0.07,-70.77,0.4052,-0.06,-0.08
2022,Commanders,-0.007,-0.066,-0.08,-86.48,0.4,-0.1,-0.05
2022,Cardinals,-0.094,-0.081,-0.09,-107.04,0.4012,-0.13,-0.03
2022,Rams,-0.098,-0.083,-0.09,-90.02,0.4056,-0.12,-0.04
2022,Jets,-0.041,-0.086,-0.09,-98.57,0.38549999999999995,-0.11,-0.05
2022,Broncos,-0.036,-0.078,-0.11,-123.56,0.3776,-0.13,-0.09
2022,Colts,-0.136,-0.154,-0.17,-184.28,0.3962,-0.18,-0.15
2022,Texans,-0.177,-0.167,-0.19,-188.32,0.3665,-0.19,-0.18
2023,49ers,0.26,0.15,0.15,157.16,0.498,0.26,0.04
2023,Bills,0.19,0.1,0.1,106.52,0.4789,0.12,0.07
2023,Cowboys,0.21,0.09,0.09,98.05,0.46259999999999996,0.16,-0.01
2023,Dolphins,0.13,0.08,0.08,88.99,0.4653,0.17,-0.03
2023,Eagles,0.0,0.05,0.05,51.62,0.455,0.07,0.02
2023,Packers,0.05,0.05,0.05,54.48,0.4401,0.14,-0.07
2023,Lions,0.09,0.05,0.05,51.58,0.4521,0.11,-0.04
2023,Ravens,0.21,0.05,0.05,54.35,0.4675,0.09,0.01
2023,Rams,0.04,0.03,0.03,36.06,0.44329999999999997,0.05,0.0
2023,Seahawks,-0.04,0.01,0.01,9.8,0.43520000000000003,0.05,-0.06
2023,Chiefs,0.1,0.0,0.0,-5.37,0.4278,0.02,-0.04
2023,Bengals,-0.04,-0.02,-0.02,-17.36,0.43320000000000003,0.01,-0.06
2023,Texans,0.02,-0.03,-0.03,-27.91,0.4081,0.05,-0.13
2023,Saints,0.08,-0.03,-0.03,-36.73,0.4103,0.03,-0.11
2023,Vikings,-0.02,-0.04,-0.04,-44.92,0.4202,-0.02,-0.07
2023,Buccaneers,-0.01,-0.04,-0.04,-41.19,0.38780000000000003,0.06,-0.18
2023,Colts,-0.01,-0.04,-0.04,-47.3,0.4022,-0.01,-0.09
2023,Bears,0.0,-0.05,-0.05,-56.08,0.4139,-0.13,0.04
2023,Titans,-0.07,-0.06,-0.06,-59.57,0.39020000000000005,-0.06,-0.06
2023,Cardinals,-0.18,-0.07,-0.07,-76.85,0.4036,-0.16,0.04
2023,Broncos,-0.07,-0.07,-0.07,-68.51,0.4154,-0.06,-0.08
2023,Jaguars,-0.04,-0.08,-0.08,-87.02,0.4138,-0.03,-0.15
2023,Chargers,-0.08,-0.08,-0.08,-91.09,0.40509999999999996,-0.03,-0.16
2023,Steelers,-0.03,-0.09,-0.09,-90.41,0.4111,-0.1,-0.07
2023,Raiders,-0.05,-0.1,-0.1,-105.81,0.405,-0.08,-0.14
2023,Falcons,-0.04,-0.1,-0.1,-114.17,0.40659999999999996,-0.09,-0.12
2023,Commanders,-0.21,-0.11,-0.11,-114.21,0.4075,-0.15,-0.03
2023,Browns,0.05,-0.15,-0.15,-173.46,0.38420000000000004,-0.18,-0.1
2023,Giants,-0.15,-0.17,-0.17,-180.84,0.3765,-0.19,-0.15
2023,Panthers,-0.17,-0.18,-0.18,-200.35,0.37229999999999996,-0.25,-0.08
2023,Patriots,-0.12,-0.19,-0.19,-191.6,0.3882,-0.26,-0.09
2023,Jets,-0.12,-0.26,-0.26,-268.64,0.34659999999999996,-0.3,-0.19
2024,Ravens,0.269860976,0.21,0.21,217.65,0.4919,0.34,0.09
2024,Bills,0.1922816216,0.18,0.18,179.74,0.4644,0.25,0.1
2024,Lions,0.2197285648,0.15,0.15,169.72,0.4928,0.27,0.02
2024,Buccaneers,0.1051836178,0.12,0.12,128.83,0.489,0.18,0.04
2024,Commanders,0.1328873341,0.12,0.12,136.73,0.4768,0.12,0.12
2024,Eagles,0.2151322403,0.1,0.1,112.44,0.4425,0.12,0.09
2024,Bengals,0.04236154557,0.08,0.08,91.07,0.4667,0.15,-0.03
2024,Packers,0.1652537339,0.07,0.07,72.08,0.444,0.13,0.01
2024,Chiefs,0.0383547092,0.06,0.06,63.79,0.4675,0.1,0.01
2024,Cardinals,0.01573369863,0.06,0.06,63.99,0.46909999999999996,0.08,0.04
2024,49ers,0.02174647007,0.06,0.06,63.87,0.4561,0.11,0.0
2024,Chargers,0.08650381147,0.03,0.03,26.51,0.41,0.09,-0.05
2024,Falcons,-0.03880498761,0.03,0.03,28.88,0.4733,0.05,0.0
2024,Broncos,0.1355160561,0.01,0.01,9.79,0.42090000000000005,0.04,-0.03
2024,Vikings,0.111098585,0.01,0.01,9.39,0.445,0.07,-0.08
2024,Rams,-0.04232456626,0.01,0.01,9.01,0.4635,0.06,-0.06
2024,Jets,-0.02455557428,-0.02,-0.02,-16.64,0.4228,0.01,-0.07
2024,Jaguars,-0.155612123,-0.02,-0.02,-23.64,0.4103,-0.02,-0.03
2024,Seahawks,-0.01655071719,-0.03,-0.03,-27.95,0.435,-0.01,-0.05
2024,Dolphins,-0.03099899621,-0.04,-0.04,-42.81,0.44179999999999997,0.06,-0.19
2024,Steelers,-0.01722587637,-0.05,-0.05,-50.42,0.4006,0.0,-0.09
2024,Saints,-0.08437242371,-0.05,-0.05,-56.58,0.4031,-0.1,0.0
2024,Texans,0.0006868162663,-0.06,-0.06,-59.01,0.3837,-0.03,-0.09
