player_id,Year,Team,player,position,age,franchise_id,player_game_count,grades_defense,snap_counts_defense,assists,forced_fumbles,grades_coverage_defense,grades_pass_rush_defense,grades_run_defense,hits,hurries,missed_tackle_rate,sacks,stops,tackles,tackles_for_loss,total_pressures,grades_defense_penalty,grades_tackle,interceptions,pass_break_ups,penalties,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,targets,fumble_recoveries,declined_penalties,missed_tackles,Cap_Space,adjusted_value,Net EPA,Win %,weighted_grade,weighted_average_grade
00-0033147,2017,Jets,Darron Lee,LB,22.0,22.0,15.0,44.2,1025.0,17.0,2.0,42.6,79.2,50.8,4.0,6.0,9.4,4.0,46.0,79.0,8.0,14.0,0.0,75.7,0.0,1.0,7.0,861.0,950.0,60.0,436.0,69.0,0.0,1.0,10.0,1.3910784431137726,363.4570696610371,-0.09,31.3,45305.0,
00-0027978,2017,Jets,Bruce Carter,LB,29.0,22.0,5.0,40.7,11.0,0.0,0.0,62.0,53.5,43.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,21.7,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.3682634730538922,101.50291291768104,-0.09,31.3,447.7000000000001,
00-0029607,2017,Jets,Demario Davis,LB,28.0,22.0,16.0,73.7,1115.0,23.0,0.0,66.2,64.4,77.0,8.0,15.0,7.3,5.0,65.0,104.0,8.0,28.0,68.9,83.7,0.0,2.0,1.0,987.0,1047.0,147.0,465.0,59.0,1.0,0.0,10.0,1.3323353293413174,78.36717076989893,-0.09,31.3,82175.5,
00-0037003,2023,Jets,Chazz Surratt,LB,26.0,22.0,3.0,78.2,9.0,1.0,0.0,,,71.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.1,75.1,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.3870106761565836,127.90332010447727,-0.12,41.2,703.8000000000001,
00-0035680,2023,Jets,Quincy Williams,LB,27.0,22.0,17.0,81.1,1092.0,25.0,2.0,88.7,69.2,70.4,2.0,3.0,13.2,2.0,80.0,106.0,15.0,7.0,32.3,60.1,1.0,8.0,5.0,896.0,1042.0,41.0,475.0,92.0,1.0,1.0,20.0,1.0676156583629894,80.73002269777413,-0.12,41.2,88561.2,
00-0031296,2023,Jets,C.J. Mosley,LB,31.0,22.0,17.0,82.9,1127.0,50.0,2.0,90.6,72.9,63.8,2.0,4.0,8.8,1.0,60.0,105.0,5.0,7.0,30.1,73.7,1.0,5.0,4.0,1053.0,1098.0,41.0,486.0,66.0,1.0,0.0,15.0,9.55338078291815,64.7388358801976,-0.12,41.2,93428.3,
00-0034902,2023,Jets,Sam Eguavoen,LB,30.0,22.0,5.0,42.5,14.0,0.0,0.0,39.8,,65.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.7,73.3,0.0,0.0,1.0,5.0,5.0,0.0,12.0,1.0,0.0,1.0,0.0,0.3716868327402135,0.0,-0.12,41.2,595.0,
00-0034902,2024,Jets,Sam Eguavoen,LB,31.0,22.0,7.0,67.7,75.0,3.0,0.0,62.0,53.5,68.6,0.0,0.0,16.7,0.0,4.0,7.0,1.0,0.0,75.2,54.2,0.0,0.0,0.0,52.0,55.0,4.0,53.0,0.0,0.0,0.0,2.0,0.3856695379796397,0.0,-0.02455557428,29.4,5077.5,
00-0037526,2024,Jets,Marcelino McCrary-Ball,LB,25.0,22.0,2.0,75.4,3.0,0.0,0.0,60.0,,60.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,64.7,,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1729314800313234,0.0,-0.02455557428,29.4,226.2,
00-0031296,2024,Jets,C.J. Mosley,LB,32.0,22.0,4.0,74.7,110.0,3.0,0.0,61.0,38.7,81.6,0.0,1.0,15.8,0.0,6.0,13.0,0.0,1.0,78.7,57.0,0.0,0.0,0.0,108.0,108.0,3.0,63.0,4.0,0.0,0.0,3.0,2.836335160532498,47.95970920577376,-0.02455557428,29.4,8217.0,62.04633375474083
