Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year_y,weighted_grade,weighted_average_grade,merge_player_y
16.0,16.0,2010.0,49ers,DL,Aubrayo Franklin,00-0022147,7.0,2003.0,2003.0,Ravens,30.0,146.0,0.125,2.9,33.0,12.95,376.0,18.708245852907535,2010.0,49ers,-0.03,37.50%,aubrayo franklin,aubrayo franklin,aubrayo franklin,39,Aubrayo Franklin,SF,DI,566,1455,16,2,1,0,0,28,1,0,75.3,58.0,52.8,82.9,69.0,0,4,8.3,4,2,87.5,0,566,516,49,0,1,37,42,2,4,2010,42619.8,MISSING,aubrayo franklin
527.0,527.0,2010.0,Chargers,DL,Antonio Garay,00-0022169,7.0,2003.0,2003.0,Browns,30.0,195.0,0.073,1.0,13.0,4.35,223.0,9.605959798382846,2010.0,Chargers,0.24,56.30%,antonio garay,antonio garay,antonio garay,40,Antonio Garay,SD,DI,457,1497,16,4,0,0,0,27,0,0,87.2,51.7,82.2,79.9,82.6,5,18,0.0,0,2,0.0,6,457,376,43,0,35,35,32,4,29,2010,39850.4,MISSING,antonio garay
1927.0,1927.0,2010.0,Titans,DL,Tony Brown,00-0021490,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Titans,-0.03,37.50%,tony brown,tony brown,tony brown,41,Tony Brown,TEN,DI,424,1574,11,4,0,0,0,31,0,0,51.8,0.0,65.3,56.5,55.4,5,9,11.8,2,6,104.2,4,424,14,367,0,26,8,11,1,18,2010,21963.199999999997,MISSING,tony brown
529.0,529.0,2010.0,Chargers,DL,Jacques Cesaire,00-0021542,7.0,2003.0,2003.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chargers,0.24,56.30%,jacques cesaire,jacques cesaire,jacques cesaire,42,Jacques Cesaire,SD,DI,607,1582,16,4,0,0,0,27,0,0,51.3,72.1,54.8,49.2,41.7,2,14,12.1,4,1,0.0,2,607,74,162,0,371,21,25,6,18,2010,31139.1,MISSING,jacques cesaire
1736.0,1736.0,2010.0,Seahawks,DL,Colin Cole,00-0021684,7.0,2003.0,2003.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Seahawks,-0.13,44.40%,colin cole,colin cole,colin cole,43,Colin Cole,SEA,DI,525,1589,13,3,6,0,0,29,0,0,67.1,59.0,59.0,71.3,79.1,0,5,2.3,1,1,0.0,1,525,79,425,0,21,33,40,3,6,2010,35227.5,MISSING,colin cole
1304.0,1304.0,2010.0,Packers,DL,Cullen Jenkins,00-0021706,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Packers,0.18,70.00%,cullen jenkins,cullen jenkins,cullen jenkins,44,Cullen Jenkins,GB,DI,566,1637,15,2,1,0,0,12,0,0,66.0,71.3,70.4,46.2,66.2,10,27,25.0,4,1,0.0,8,556,32,26,17,471,16,10,2,45,2010,37356.0,MISSING,cullen jenkins
594.0,594.0,2010.0,Chiefs,DL,Shaun Smith,00-0021679,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chiefs,0.05,58.80%,shaun smith,shaun smith,shaun smith,45,Shaun Smith,KC,DI,480,1702,17,17,0,1,0,16,0,0,67.7,54.7,52.7,75.8,81.0,0,8,1.9,1,2,0.0,1,480,111,36,0,333,28,35,2,9,2010,32496.0,MISSING,shaun smith
71.0,71.0,2010.0,Bears,DL,Tommie Harris,00-0022837,6.0,2004.0,2004.0,Bears,27.0,14.0,0.695,17.8,1100.0,325.31,1610.0,173.30278100580392,2010.0,Bears,0.02,66.70%,tommie harris,tommie harris,tommie harris,46,Tommie Harris,CHI,DI,617,1735,17,2,1,0,0,6,2,0,63.6,87.7,62.3,57.3,60.4,2,18,15.4,2,0,39.6,3,617,5,611,0,1,9,9,1,23,2010,39241.2,MISSING,tommie harris
1429.0,1429.0,2010.0,Patriots,DL,Vince Wilfork,00-0022712,6.0,2004.0,2004.0,Patriots,28.0,21.0,0.594,15.2,800.0,260.82,1397.0,143.9002894298639,2010.0,Patriots,0.22,82.40%,vince wilfork,vince wilfork,vince wilfork,47,Vince Wilfork,NE,DI,818,1742,17,8,1,0,0,19,1,0,69.5,59.7,56.0,74.7,77.6,2,14,9.4,6,3,39.6,2,818,405,112,0,300,41,50,7,18,2010,56851.0,MISSING,vince wilfork
784.0,784.0,2010.0,Cowboys,DL,Igor Olshansky,00-0022915,6.0,2004.0,2004.0,Chargers,28.0,35.0,0.48,12.0,550.0,170.37,1128.0,110.32201413925344,2010.0,Cowboys,0.0,37.50%,igor olshansky,igor olshansky,igor olshansky,48,Igor Olshansky,DAL,DI,569,1756,16,9,1,0,0,9,0,0,61.5,56.1,53.5,63.8,67.1,2,10,8.8,3,3,39.6,0,569,24,100,0,445,16,22,1,12,2010,34993.5,MISSING,igor olshansky
