,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
105,Dylan Gandy,DET,G,100.0,0,11,56.8,82.3,45.0,0,0,24,100.0,100.0,100.0,0,0,0,31,0,0,0,31,25,25,31,0,6,0,Lions,2010,1760.8,
106,Ray Feinga,MIA,G,83.3,0,17,61.6,81.8,70.6,0,0,20,76.9,78.6,100.0,1,0,0,30,0,1,0,36,22,28,12,12,8,11,Dolphins,2010,2217.6,
107,Bruce Campbell,OAK,G,100.0,0,23,57.9,,57.7,0,0,0,,,,0,0,0,10,0,0,0,10,0,0,10,0,10,0,Raiders,2010,579.0,
108,Kasey Studdard,HST,G,100.0,0,13,56.1,,56.4,0,0,0,,,,0,0,0,10,0,0,0,10,0,0,10,0,10,0,Texans,2010,561.0,
109,Ryan Durand,TEN,G,100.0,0,31,55.0,67.4,55.1,0,0,1,100.0,100.0,100.0,0,0,0,7,0,7,0,7,1,1,0,0,6,0,Titans,2010,385.0,
110,Brandon Carter,TB,G,100.0,0,30,59.7,73.1,58.5,0,0,2,100.0,100.0,100.0,0,0,0,6,0,6,0,6,2,2,0,0,4,0,Buccaneers,2010,358.20000000000005,
111,Rex Hadnot,ARZ,G,85.7,0,1,55.7,69.4,56.3,0,0,1,50.0,50.0,100.0,0,0,0,6,1,0,0,7,1,2,0,0,5,5,Cardinals,2010,389.90000000000003,
112,Jacques McClendon,IND,G,100.0,0,14,59.7,71.4,57.1,0,0,3,100.0,100.0,100.0,0,0,0,6,0,0,0,6,3,3,0,0,3,6,Colts,2010,358.20000000000005,
113,Kevin Haslam,JAX,G,75.0,0,15,49.2,8.4,59.7,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,2,3,2,Jaguars,2010,196.8,
114,C.J. Davis,CAR,G,100.0,0,5,60.0,69.1,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,2,1,0,Panthers,2010,120.0,
115,Chris Clark,DEN,G,100.0,0,10,60.0,67.3,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,2,Broncos,2010,120.0,
116,David Diehl,NYG,G,99.9,1,21,51.6,39.6,59.4,11,61,798,99.8,99.8,93.9,5,85,13,1369,0,668,701,1371,838,840,0,0,531,2,Giants,2011,70743.6,67.07537584240539
117,Carl Nicks,NO,G,100.0,0,20,83.0,84.9,76.5,4,10,806,100.0,100.0,98.9,2,16,2,1320,0,1320,0,1320,845,845,0,0,475,0,Saints,2011,109560.0,76.17830935251799
118,Brian Waters,NE,G,100.0,1,19,82.0,86.4,74.1,3,11,757,100.0,100.0,98.8,6,16,2,1310,0,0,0,1310,794,794,1310,0,516,0,Patriots,2011,107420.0,63.125805102467595
119,Jahri Evans,NO,G,100.0,1,20,76.5,68.9,77.5,2,32,798,100.0,100.0,97.5,6,37,3,1283,0,0,0,1283,836,836,1283,0,447,0,Saints,2011,98149.5,63.165103734439846
120,Chris Snee,NYG,G,100.0,4,21,64.6,61.9,64.8,7,27,750,100.0,100.0,96.9,10,40,6,1277,0,0,0,1277,786,786,1277,0,491,0,Giants,2011,82494.2,67.39787735849056
121,Wade Smith,HST,G,100.0,0,13,70.2,68.1,67.4,4,20,563,100.0,100.0,97.3,2,27,3,1203,0,1203,0,1203,592,592,0,0,611,0,Texans,2011,84450.6,73.15808440018967
122,Zane Beadles,DEN,G,100.0,0,10,64.1,55.4,68.6,5,36,560,100.0,100.0,95.1,7,48,7,1195,0,1195,0,1195,601,601,0,0,594,0,Broncos,2011,76599.5,64.53858534519271
