Unnamed: 0_x,season,team,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,Unnamed: 0_y,Player,Cap_Space,year
,,,,,,,,,,,,,,,,,,49ers,,,12367.0,Dres Anderson,0.2233389168062535,2015.0
,,,,,,,,,,,,,,,,,,49ers,,,11503.0,Kyle Nelson,0.5653266331658292,2015.0
10123.0,2015.0,49ers,Nick Easton,00-0031765,0.0,2015.0,2015.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2015.0,49ers,-0.15,31.30%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,10862.0,Phil Dawson,2.8852596314907872,2015.0
10136.0,2015.0,49ers,Pierre Thomas,00-0024813,8.0,2007.0,2007.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2015.0,49ers,-0.15,31.30%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,12351.0,Rory Anderson,0.2311522892238972,2015.0
10090.0,2015.0,49ers,Shareece Wright,00-0028027,4.0,2011.0,2011.0,Chargers,28.0,89.0,0.221,6.0,145.0,45.94,636.0,90.41241848476812,2015.0,49ers,-0.15,31.30%,,,,
10138.0,2015.0,49ers,Travaris Cadet,00-0029205,3.0,2012.0,2012.0,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2015.0,49ers,-0.15,31.30%,,,,
10141.0,2015.0,49ers,Vernon Davis,00-0024221,9.0,2006.0,2006.0,49ers,31.0,6.0,0.955,23.2,1600.0,446.15,2056.0,95.02832020265996,2015.0,49ers,-0.15,31.30%,,,,
12208.0,2016.0,49ers,Anthony Davis,00-0027863,MISSING,MISSING,MISSING,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,2016.0,49ers,-0.15,12.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,14073.0,Bradley Pinion,0.3693888065949636,2016.0
,,,,,,,,,,,,,,,,,,49ers,,,13245.0,Cornellius Carradine,1.4164114123784377,2016.0
,,,,,,,,,,,,,,,,,,49ers,,,14811.0,DiAndre Campbell,0.0088877439299285,2016.0
12183.0,2016.0,49ers,Ian Williams,00-0028241,5.0,2011.0,2011.0,MISSING,27.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2016.0,49ers,-0.15,12.50%,,,,
12207.0,2016.0,49ers,Josh Allen,00-0030833,2.0,2014.0,2014.0,MISSING,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2016.0,49ers,-0.15,12.50%,,,,
12227.0,2016.0,49ers,Keshawn Martin,00-0029415,4.0,2012.0,2012.0,Texans,26.0,121.0,0.154,4.1,52.0,22.59,475.0,60.65546395523085,2016.0,49ers,-0.15,12.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,13563.0,Kyle Nelson,0.6247182327558447,2016.0
,,,,,,,,,,,,,,,,,,49ers,,,14809.0,Mitchell Van Dyk,0.0133316158948927,2016.0
12190.0,2016.0,49ers,NaVorro Bowman,00-0027894,6.0,2010.0,2010.0,49ers,28.0,91.0,0.217,5.9,136.0,43.96,625.0,48.511255771229806,2016.0,49ers,-0.15,12.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,12753.0,Navorro Bowman,6.591099375281767,2016.0
,,,,,,,,,,,,,,,,,,49ers,,,13085.0,Phil Dawson,2.018419527275069,2016.0
12185.0,2016.0,49ers,Tank Carradine,00-0030457,3.0,2013.0,2013.0,49ers,26.0,40.0,0.443,11.1,500.0,149.45,1057.0,204.4017657041202,2016.0,49ers,-0.15,12.50%,,,,
12212.0,2016.0,49ers,Thad Lewis,00-0027253,6.0,2010.0,2010.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2016.0,49ers,-0.15,12.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,14457.0,Thaddeus Lewis,0.2337863077220326,2016.0
12204.0,2016.0,49ers,Trent Brown,00-0032071,1.0,2015.0,2015.0,49ers,23.0,244.0,0.049,0.0,0.0,1.46,105.0,14.410767577210205,2016.0,49ers,-0.15,12.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,14109.0,Trenton Brown,0.347119855735171,2016.0
15142.0,2017.0,49ers,Andrew Gardner,00-0026929,8.0,2009.0,2009.0,Dolphins,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15150.0,2017.0,49ers,Andrew Lauderdale,00-0033500,0.0,2017.0,2017.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15177.0,2017.0,49ers,B.J. Johnson,00-0033496,0.0,2017.0,2017.0,MISSING,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15134.0,2017.0,49ers,Ben Boulware,00-0033406,0.0,2017.0,2017.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15131.0,2017.0,49ers,Boseko Lokombo,00-0033186,0.0,2017.0,2017.0,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,15996.0,Bradley Pinion,0.3973353293413174,2017.0
15149.0,2017.0,49ers,Cameron Hunt,00-0033667,0.0,2017.0,2017.0,MISSING,22.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15094.0,2017.0,49ers,Channing Stribling,00-0033652,0.0,2017.0,2017.0,MISSING,22.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
