player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0029417,2014,Texans,0.5021616541353383,25.0,69.88135499914594,0.11,56.30%,Jared Crick,DI,714.0,16.0,16.0,5.0,0.0,0.0,13.0,0.0,0.0,60.7,65.4,56.4,56.9,77.8,9.0,14.0,4.0,2.0,2.0,0.0,4.0,713.0,5.0,36.0,107.0,565.0,25.0,32.0,4.0,27.0,43339.8,MISSING
00-0024348,2015,Bills,4.8506420993858175,32.0,11.669198062834054,0.02,50.00%,Kyle Williams,DI,341.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,63.6,44.5,59.9,70.0,29.5,5.0,7.0,28.6,4.0,2.0,0.0,1.0,329.0,10.0,177.0,39.0,103.0,4.0,6.0,1.0,13.0,21687.6,MISSING
00-0024030,2014,Vikings,0.6353383458646616,30.0,0.0,-0.04,43.80%,Tom Johnson,DI,435.0,16.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,69.5,70.9,64.4,67.1,64.7,6.0,18.0,11.8,2.0,1.0,0.0,6.0,435.0,1.0,419.0,9.0,6.0,15.0,13.0,1.0,30.0,30232.5,MISSING
00-0026194,2010,Titans,0.6056910569105691,24.0,180.72008729049932,-0.03,37.50%,Jason Jones,DI,653.0,15.0,4.0,3.0,2.0,3.0,31.0,0.0,0.0,76.3,32.9,77.0,68.0,78.4,2.0,35.0,2.9,1.0,5.0,0.0,4.0,653.0,37.0,559.0,0.0,41.0,29.0,29.0,10.0,41.0,49823.9,MISSING
00-0027684,2010,Texans,0.4204268292682927,22.0,149.9963389439196,-0.04,37.50%,Earl Mitchell,DI,310.0,15.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,60.6,84.7,63.1,56.3,61.9,0.0,9.0,3.8,1.0,0.0,108.3,1.0,310.0,12.0,275.0,0.0,23.0,11.0,16.0,2.0,10.0,18786.0,MISSING
00-0027677,2015,Bills,0.4641261864879956,28.0,83.96754467987483,0.02,50.00%,Alex Carrington,DI,172.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,58.9,84.1,58.4,52.7,73.9,2.0,5.0,0.0,0.0,0.0,0.0,0.0,171.0,7.0,60.0,72.0,32.0,6.0,8.0,0.0,7.0,10130.8,MISSING
00-0023472,2010,Texans,1.4634146341463417,27.0,143.93906529367615,-0.04,37.50%,Shaun Cody,DI,485.0,16.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,60.9,86.4,60.4,55.7,78.1,1.0,11.0,2.6,1.0,0.0,79.2,0.0,485.0,49.0,424.0,0.0,12.0,20.0,24.0,4.0,12.0,29536.5,MISSING
00-0022073,2014,Seahawks,1.5625,34.0,45.85226262362679,0.21,73.70%,Kevin Williams,DI,545.0,19.0,10.0,2.0,0.0,0.0,29.0,0.0,0.0,63.7,86.9,58.6,63.7,57.4,1.0,13.0,12.2,5.0,0.0,66.7,2.0,545.0,39.0,394.0,4.0,108.0,20.0,26.0,7.0,16.0,34716.5,55.21125907990315
00-0024073,2010,Saints,0.8951219512195121,27.0,0.0,0.11,64.70%,Remi Ayodele,DI,627.0,17.0,10.0,1.0,0.0,1.0,20.0,0.0,0.0,56.0,64.1,55.7,59.5,64.9,1.0,5.0,13.9,5.0,2.0,0.0,1.0,627.0,62.0,565.0,0.0,0.0,16.0,21.0,3.0,7.0,35112.0,MISSING
00-0027038,2010,Titans,0.5081300813008129,23.0,176.0111141915956,-0.03,37.50%,Sen'Derrick Marks,DI,460.0,12.0,7.0,2.0,1.0,2.0,31.0,0.0,0.0,52.5,36.1,62.0,50.2,30.0,6.0,10.0,13.6,3.0,3.0,0.0,1.0,460.0,19.0,402.0,0.0,37.0,9.0,12.0,3.0,17.0,24150.0,MISSING
