,position,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_offense,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Team,Year,Previous_block_percent,Previous_declined_penalties,Previous_franchise_id,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_run_block,Previous_hits_allowed,Previous_hurries_allowed,Previous_non_spike_pass_block,Previous_non_spike_pass_block_percentage,Previous_pass_block_percent,Previous_pbe,Previous_penalties,Previous_pressures_allowed,Previous_sacks_allowed,Previous_snap_counts_block,Previous_snap_counts_ce,Previous_snap_counts_lg,Previous_snap_counts_lt,Previous_snap_counts_offense,Previous_snap_counts_pass_block,Previous_snap_counts_pass_play,Previous_snap_counts_rg,Previous_snap_counts_rt,Previous_snap_counts_run_block,Previous_snap_counts_te
41,G,99.50753768844221,0.25125628140703515,11.0,68.00301507537688,71.63668341708544,63.33015075376884,3.0150753768844223,11.552763819095478,317.5427135678392,97.53768844221105,97.95628140703518,96.6361809045226,2.2613065326633164,16.829145728643216,2.2613065326633164,554.0201005025126,0.25125628140703515,270.09045226130655,0.0,554.2663316582915,340.64824120603015,340.89447236180905,270.1005025125628,0.0,213.3718592964824,5.678391959798995,Lions,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
42,T,99.97501875468868,0.9997499374843711,11.0,67.99934983745938,70.74753688422106,45.57316829207302,1.9994998749687423,14.496124031007753,314.9247311827957,99.95003750937737,99.95003750937737,97.37514378594649,3.2490622655663923,19.24556139034759,2.749937484371093,544.3708427106777,0.0,0.0,268.55188797199304,544.620655163791,337.41960490122534,337.6694173543386,0.0,268.3170792698175,206.95123780945238,6.501375343835959,Lions,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TE,55.806090712742986,0.0,11.0,59.34215982721382,72.93317494600431,59.984578833693305,0.0,0.216414686825054,23.930021598272134,14.85110151187905,14.696328293736501,95.05300215982722,0.4375809935205183,0.216414686825054,0.0,157.98228941684667,0.0,0.0,0.0,279.3533477321814,25.887257019438444,147.25831533477324,0.0,0.5434125269978402,132.0950323974082,240.32656587473002,Lions,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
44,C,100.0,1.0,12.0,78.6,85.0,72.5,2.0,12.0,728.0,100.0,100.0,98.5,1.0,18.0,4.0,1074.0,1074.0,0.0,0.0,1074.0,774.0,774.0,0.0,0.0,300.0,0.0,Packers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
45,G,100.0,0.5,12.0,59.46666666666667,55.016666666666666,54.6,1.8333333333333333,12.833333333333334,249.16666666666666,83.33333333333333,83.33333333333333,80.35,1.3333333333333333,17.0,2.3333333333333335,366.1666666666667,0.0,179.0,5.5,366.1666666666667,264.5,264.5,179.0,2.0,101.66666666666667,0.0,Packers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
46,T,100.0,0.3333333333333333,12.0,76.2,83.3,64.0,2.0,13.666666666666666,474.3333333333333,100.0,100.0,97.23333333333333,6.666666666666667,19.666666666666668,4.0,701.6666666666666,0.0,0.0,347.0,701.6666666666666,505.0,505.0,0.0,354.0,196.66666666666666,0.0,Packers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TE,55.01406593406593,0.0,12.0,56.113076923076925,56.72021978021978,65.04087912087913,0.4230769230769231,2.398901098901099,25.384615384615383,23.77208791208791,24.118901098901095,93.97626373626373,1.123076923076923,3.2428571428571433,0.4208791208791208,138.60109890109888,0.0,0.0,0.0,290.3010989010989,26.651648351648355,178.35164835164835,0.0,0.0,111.94945054945055,163.06483516483516,Packers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
48,C,100.0,1.0,13.0,65.4,78.7,57.4,3.0,12.0,623.0,100.0,100.0,98.5,2.0,17.0,2.0,1094.0,1094.0,0.0,0.0,1094.0,674.0,674.0,0.0,0.0,420.0,0.0,Texans,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
49,G,100.0,0.0,13.0,60.46666666666667,73.0,52.86666666666667,2.0,17.0,392.3333333333333,100.0,100.0,96.86666666666666,2.3333333333333335,21.666666666666668,2.6666666666666665,693.3333333333334,0.0,328.0,0.0,693.3333333333334,424.3333333333333,424.3333333333333,364.6666666666667,0.3333333333333333,269.0,0.3333333333333333,Texans,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
50,T,99.95007503751876,1.250625312656328,12.999999999999998,55.58184092046024,63.33406703351675,51.50295147573787,5.749374687343671,22.001000500250125,329.2906453226613,99.90015007503752,99.90015007503752,95.52631315657828,6.250625312656328,33.00100050025012,5.250625312656328,578.3246623311655,0.0,27.45872936468234,273.49474737368683,578.5742871435717,356.29164582291145,356.5412706353177,0.0,273.37668834417207,222.03301650825412,4.244122061030515,Texans,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
