,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
85,Will Beatty,NYG,T,93.9,0,21,56.6,50.0,69.6,0,4,50,84.7,84.4,96.0,6,4,0,153,0,0,116,163,54,64,0,0,99,47,Giants,2010,9225.800000000001,
86,Renardo Foster,SL,T,100.0,1,26,53.6,40.7,69.6,1,11,82,100.0,100.0,91.5,2,13,1,136,0,0,63,136,89,89,0,72,47,1,Rams,2010,7289.6,
87,Guy Whimper,JAX,T,100.0,0,15,47.7,27.5,63.7,5,4,56,100.0,100.0,88.4,1,11,2,94,0,0,76,94,60,60,3,15,34,0,Jaguars,2010,4483.8,
88,T.J. Lang,GB,T,100.0,0,12,64.2,64.5,61.5,1,3,39,100.0,100.0,94.9,0,4,0,87,0,37,44,87,41,41,0,0,46,6,Packers,2010,5585.400000000001,
89,Alex Barron,DAL,T,97.4,0,9,64.0,58.2,68.4,0,3,47,95.9,96.2,96.8,3,3,0,75,0,0,0,77,51,53,0,71,24,6,Cowboys,2010,4928.0,
90,Austin Howard,PHI,T,100.0,0,24,48.6,43.0,50.4,0,2,44,100.0,100.0,93.2,0,4,2,75,0,0,74,75,45,45,0,1,30,0,Eagles,2010,3645.0,
91,Erik Pears,BUF,T,100.0,0,4,60.2,70.2,57.6,1,1,41,100.0,100.0,97.6,1,2,0,58,0,0,0,58,42,42,0,58,16,0,Bills,2010,3491.6000000000004,
92,Mark LeVoir,NE,T,100.0,0,19,54.6,49.7,54.6,1,2,14,100.0,100.0,89.3,0,3,0,45,0,0,0,45,15,15,0,44,30,1,Patriots,2010,2457.0,
93,Tony Hills,PIT,T,100.0,0,25,47.0,31.1,53.3,1,1,18,100.0,100.0,88.9,0,3,1,40,0,2,24,40,21,21,0,14,19,0,Steelers,2010,1880.0,
94,Jamon Meredith,NYG,T,90.6,0,21,44.8,10.0,69.1,1,1,13,86.7,82.4,76.9,0,4,2,29,0,0,17,32,14,17,0,0,15,15,Giants,2010,1433.6,
