,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
98,Lawrence Jackson,DET,ED,327,4342,11,5,1,0,1,11,0,79.7,61.6,75.1,71.9,78.7,2,11,0.0,0,1,8,196,127,325,0,322,19,22,0,21,Lions,2010,26061.9,
99,Kentwan Balmer,SEA,ED,564,4343,18,8,0,0,0,29,0,49.2,85.5,55.3,43.3,47.5,1,11,10.5,4,0,0,266,298,564,0,453,15,26,2,12,Seahawks,2010,27748.800000000003,
100,Chris Ellis,BUF,ED,49,4386,2,2,0,0,0,4,0,64.4,77.4,75.4,52.9,75.2,1,0,0.0,0,0,1,14,32,49,41,8,2,2,0,2,Bills,2010,3155.6000000000004,
101,Shawn Crable,NE,ED,126,4392,6,1,0,0,0,19,0,55.3,80.3,55.6,52.2,75.0,0,8,0.0,0,0,1,102,18,109,23,85,0,2,0,9,Patriots,2010,6967.799999999999,
102,Cliff Avril,DET,ED,625,4406,13,9,2,0,2,11,1,80.1,18.5,87.4,55.5,80.5,2,44,4.3,1,5,9,368,241,615,1,608,14,13,0,55,Lions,2010,50062.5,
103,William Hayes,TEN,ED,545,4417,14,3,0,0,1,31,0,69.7,58.4,68.9,66.0,64.6,5,23,6.9,2,2,2,325,214,538,6,509,19,24,2,30,Titans,2010,37986.5,
104,Kroy Biermann,ATL,ED,654,4468,17,4,2,0,0,2,0,65.3,50.3,68.9,57.2,69.1,11,34,4.0,1,3,4,438,181,653,9,644,19,20,3,49,Falcons,2010,42706.2,
105,Erik Walden,GB,ED,325,4481,12,1,0,0,1,12,0,54.5,85.0,58.6,36.0,72.7,1,6,4.2,1,0,2,147,102,272,266,6,12,22,0,9,Packers,2010,17712.5,
106,Trevor Scott,OAK,ED,476,4483,10,3,1,1,0,23,0,61.6,48.0,63.9,58.9,81.1,3,19,5.9,1,2,1,240,195,365,8,357,11,13,0,23,Raiders,2010,29321.600000000002,
107,Andy Studebaker,KC,ED,315,4517,16,0,1,0,0,16,0,68.1,77.9,60.4,60.6,57.6,4,7,15.4,2,0,3,143,88,107,87,18,9,11,0,14,Chiefs,2010,21451.5,
108,Rob Jackson,WAS,ED,43,4556,2,0,0,0,1,32,0,83.2,75.4,72.7,76.5,75.2,1,3,0.0,0,0,1,29,11,26,26,0,1,2,0,5,Commanders,2010,3577.6,
109,Titus Brown,CLV,ED,23,4695,7,0,0,0,0,8,0,75.7,74.8,64.0,63.6,67.4,0,4,0.0,0,0,0,19,4,16,7,9,1,1,0,4,Browns,2010,1741.1000000000001,
110,Jesse Nading,HST,ED,106,4796,5,1,0,0,0,13,0,47.7,79.0,57.6,35.5,74.7,0,5,0.0,0,0,1,75,26,92,5,84,2,5,0,6,Texans,2010,5056.200000000001,
111,Cameron Wake,MIA,ED,907,4907,16,3,3,0,3,17,0,86.9,78.2,90.1,63.0,79.2,21,29,8.2,4,1,16,466,389,815,347,465,42,42,12,66,Dolphins,2010,78818.3,
112,Aaron Maybin,BUF,ED,93,4934,11,0,0,0,0,4,0,55.2,19.8,57.1,61.8,71.6,1,5,0.0,0,1,0,69,24,89,2,87,2,4,0,6,Bills,2010,5133.6,
