,season,team,position,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value
134,2010,Bengals,DL,Frostee Rucker,00-0024306,4.0,2006.0,2006.0,Bengals,26.0,91,0.217,5.9,136.0,43.96,625.0,88.39327117131042
135,2010,Bengals,DL,Antwan Odom,00-0022918,6.0,2004.0,2004.0,Titans,28.0,57,0.342,8.9,330.0,95.73,871.0,77.59389344557198
136,2010,Bengals,DL,Victor Adeyanju,00-0024328,4.0,2006.0,2006.0,Rams,27.0,113,0.168,4.5,68.0,27.0,511.0,66.77398831123945
137,2010,Bengals,DL,Domata Peko,00-0024338,4.0,2006.0,2006.0,Bengals,25.0,123,0.151,4.0,49.0,21.61,466.0,59.246002745318634
138,2010,Bengals,DL,Robert Geathers,00-0022867,6.0,2004.0,2004.0,Bengals,27.0,117,0.16,4.3,60.0,24.7,492.0,34.87104351587171
139,2010,Bengals,DL,Clinton McDonald,00-0026964,1.0,2009.0,2009.0,Bengals,23.0,249,0.048,0.0,0.0,1.31,94.0,13.560632297941556
140,2010,Bengals,DL,Jonathan Fanene,00-0023665,5.0,2005.0,2005.0,Bengals,28.0,233,0.052,0.0,0.0,1.87,129.0,9.006565467264338
141,2010,Bengals,LB,Keith Rivers,00-0026149,2.0,2008.0,2008.0,Bengals,24.0,9,0.847,20.6,1350.0,387.01,1843.0,457.33883337413505
142,2010,Bengals,LB,Rey Maualuga,00-0027014,1.0,2009.0,2009.0,Bengals,23.0,38,0.458,11.4,520.0,157.49,1084.0,257.90773919552834
143,2010,Bengals,LB,Michael Johnson,00-0027044,1.0,2009.0,2009.0,Bengals,23.0,70,0.279,7.5,240.0,69.82,763.0,156.85018541682646
144,2010,Bengals,LB,Roddrick Muckelroy,00-0027731,0.0,2010.0,2010.0,Bengals,23.0,131,0.142,3.6,41.0,18.08,433.0,81.04727498663136
145,2010,Bengals,LB,Brandon Johnson,00-0024356,4.0,2006.0,2006.0,Cardinals,27.0,142,0.129,3.0,35.0,14.15,390.0,47.750685078100446
146,2010,Bengals,LB,Dhani Jones,00-0019635,10.0,2000.0,2000.0,Giants,32.0,177,0.09,1.6,21.0,6.49,274.0,5.10495108066649
147,2010,Bengals,LB,Vincent Rey,00-0027245,0.0,2010.0,2010.0,,22.0,0,,,,,,0.0
148,2010,Bengals,LB,Dan Skuta,00-0026725,1.0,2009.0,2009.0,,24.0,0,,,,,,0.0
149,2010,Bengals,OL,Andre Smith,00-0026982,1.0,2009.0,2009.0,Bengals,23.0,6,0.955,23.2,1600.0,446.15,2056.0,574.8878363614433
150,2010,Bengals,OL,Andrew Whitworth,00-0024270,4.0,2006.0,2006.0,Bengals,28.0,55,0.352,9.1,350.0,100.88,890.0,145.7746709770495
151,2010,Bengals,OL,Anthony Collins,00-0026252,2.0,2008.0,2008.0,Bengals,24.0,112,0.17,4.6,70.0,27.6,515.0,82.74546773131904
152,2010,Bengals,OL,Evan Mathis,00-0023514,5.0,2005.0,2005.0,Panthers,28.0,79,0.248,6.8,195.0,57.27,699.0,76.50432862913776
153,2010,Bengals,OL,Bobbie Williams,00-0019629,10.0,2000.0,2000.0,Eagles,33.0,61,0.322,8.4,292.0,86.21,835.0,21.902497403051203
154,2010,Bengals,OL,Reggie Stephens,00-0027820,0.0,2010.0,2010.0,Bengals,23.0,228,0.054,0.0,0.0,2.09,141.0,19.33341850220264
155,2010,Bengals,OL,Kirk Chambers,00-0022728,6.0,2004.0,2004.0,Browns,31.0,176,0.091,1.7,21.0,6.64,277.0,17.311118391085646
156,2010,Bengals,OL,Kyle Cook,00-0024670,3.0,2007.0,2007.0,,27.0,0,,,,,,0.0
157,2010,Bengals,OL,Dennis Roland,00-0023920,4.0,2006.0,2006.0,,27.0,0,,,,,,0.0
158,2010,Bengals,OL,Nate Livings,00-0023958,4.0,2006.0,2006.0,,28.0,0,,,,,,0.0
159,2010,Bengals,QB,Carson Palmer,00-0021429,7.0,2003.0,2003.0,Bengals,30.0,1,1.135,34.6,3000.0,1000.0,3000.0,272.53179303401265
160,2010,Bengals,QB,Dan LeFevour,00-0027605,0.0,2010.0,2010.0,Bears,23.0,181,0.086,1.5,19.0,5.94,262.0,43.74603858657363
161,2010,Bengals,QB,Jordan Palmer,00-0025592,3.0,2007.0,2007.0,Commanders,26.0,205,0.065,0.7,9.0,3.48,197.0,22.17218603406173
162,2010,Bengals,RB,Cedric Benson,00-0023439,5.0,2005.0,2005.0,Bears,27.0,4,1.027,25.8,1800.0,490.52,2270.0,347.38100746467285
163,2010,Bengals,RB,Brian Leonard,00-0025439,3.0,2007.0,2007.0,Rams,26.0,52,0.368,9.4,380.0,109.13,919.0,168.61546838539647
164,2010,Bengals,RB,Cedric Peerman,00-0026932,1.0,2009.0,2009.0,Ravens,23.0,185,0.082,1.4,17.0,5.43,251.0,37.545768481765116
165,2010,Bengals,RB,Bernard Scott,00-0026941,1.0,2009.0,2009.0,Bengals,26.0,209,0.062,0.6,8.0,3.18,187.0,25.36197593169527
166,2010,Bengals,RB,Chris Pressley,00-0026723,1.0,2009.0,2009.0,,24.0,0,,,,,,0.0
167,2010,Bengals,TE,Jermaine Gresham,00-0027873,0.0,2010.0,2010.0,Bengals,22.0,21,0.594,15.2,800.0,260.82,1397.0,391.1615418671963
168,2010,Bengals,TE,Chase Coffman,00-0027069,1.0,2009.0,2009.0,Bengals,23.0,98,0.201,5.4,108.0,37.68,586.0,108.97413217440105
169,2010,Bengals,TE,Garrett Mills,00-0024321,4.0,2006.0,2006.0,Patriots,26.0,106,0.183,4.9,82.0,31.55,544.0,72.80595968297786
170,2010,Bengals,TE,Reggie Kelly,00-0009119,11.0,1999.0,1999.0,Falcons,33.0,42,0.429,10.8,480.0,141.82,1032.0,21.93200014569915
