Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1223.0,1223.0,2010.0,Lions,CB,Nathan Vasher,00-0022216,6.0,2004.0,2004.0,Bears,28.0,110.0,0.174,4.7,74.0,28.86,525.0,38.087940425724895,2010.0,Lions,-0.01,37.50%,nathan vasher,nathan vasher,nathan vasher,34,Nathan Vasher,DET,CB,338,1831,13,3,0,0,11,0,67.0,67.7,85.6,29.8,1,0,26.1,6,1,1,70.6,16,316,212,3,4,14,1,31,1,210,2010,22882.6,MISSING,nathan vasher
1662.0,1662.0,2010.0,Saints,CB,Randall Gay,00-0022344,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Saints,0.11,64.70%,randall gay,randall gay,randall gay,35,Randall Gay,NO,CB,59,2050,4,2,0,0,20,0,59.4,62.9,77.7,79.3,0,0,0.0,0,0,0,116.7,4,4,46,52,0,2,0,4,0,48,2010,3711.1,MISSING,randall gay
1661.0,1661.0,2010.0,Saints,CB,Jabari Greer,00-0022527,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Saints,0.11,64.70%,jabari greer,jabari greer,jabari greer,36,Jabari Greer,NO,CB,812,2057,15,4,0,0,20,1,74.7,71.1,87.8,36.0,3,1,20.5,16,10,2,101.0,59,716,500,41,17,58,3,90,6,777,2010,57733.2,MISSING,jabari greer
846.0,846.0,2010.0,Dolphins,CB,Benny Sapp,00-0022352,6.0,2004.0,2004.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Dolphins,-0.07,43.80%,benny sapp,benny sapp,benny sapp,37,Benny Sapp,MIA,CB,587,2170,16,5,1,0,17,0,57.9,61.2,53.6,64.6,2,0,9.1,4,5,2,80.9,35,3,392,565,13,35,4,59,2,456,2010,35924.4,MISSING,benny sapp
114.0,114.0,2010.0,Bengals,CB,Adam Jones,00-0023441,5.0,2005.0,2005.0,Titans,26.0,6.0,0.955,23.2,1600.0,446.15,2056.0,315.5051340440787,2010.0,Bengals,-0.06,25.00%,adam jones,adam jones,adam jones,38,Adam Jones,CIN,CB,165,2223,5,2,0,1,7,1,72.6,74.0,82.2,84.1,1,0,0.0,0,1,0,109.9,10,151,118,5,3,11,0,16,2,162,2010,12210.0,MISSING,adam jones
709.0,709.0,2010.0,Commanders,CB,Carlos Rogers,00-0023444,5.0,2005.0,2005.0,Commanders,29.0,9.0,0.847,20.6,1350.0,387.01,1843.0,277.3900243186203,2010.0,Commanders,-0.12,37.50%,carlos rogers,carlos rogers,carlos rogers,39,Carlos Rogers,WAS,CB,760,2226,12,5,0,1,32,0,62.5,63.0,88.3,62.0,2,0,8.9,5,5,1,95.2,50,300,460,411,16,46,0,72,3,569,2010,47880.0,MISSING,carlos rogers
1595.0,1595.0,2010.0,Ravens,CB,Fabian Washington,00-0023458,5.0,2005.0,2005.0,Raiders,27.0,23.0,0.573,14.6,760.0,244.86,1349.0,186.18682680773335,2010.0,Ravens,0.06,72.20%,fabian washington,fabian washington,fabian washington,40,Fabian Washington,BLT,CB,511,2240,12,1,0,0,3,0,56.0,58.4,87.4,29.1,0,0,14.3,5,5,0,122.6,35,480,312,3,5,29,1,51,3,535,2010,29842.4,MISSING,fabian washington
1482.0,1482.0,2010.0,Raiders,CB,Stanford Routt,00-0023473,5.0,2005.0,2005.0,Raiders,27.0,38.0,0.458,11.4,520.0,157.49,1084.0,141.54276830920938,2010.0,Raiders,0.02,50.00%,stanford routt,stanford routt,stanford routt,41,Stanford Routt,OAK,CB,980,2255,16,3,1,0,23,0,57.0,56.8,67.0,69.5,2,1,7.1,4,10,11,69.0,42,508,553,429,8,49,1,99,4,629,2010,55664.0,MISSING,stanford routt
1030.0,1030.0,2010.0,Giants,CB,Corey Webster,00-0023478,5.0,2005.0,2005.0,Giants,28.0,43.0,0.422,10.6,470.0,138.15,1019.0,130.36832947437256,2010.0,Giants,0.09,62.50%,corey webster,corey webster,corey webster,42,Corey Webster,NYG,CB,915,2260,15,4,0,0,21,1,64.4,66.2,88.6,62.3,4,0,7.7,4,6,0,87.2,44,847,575,18,8,44,1,81,6,695,2010,60573.0,MISSING,corey webster
1536.0,1536.0,2010.0,Rams,CB,Ron Bartell,00-0023485,5.0,2005.0,2005.0,Rams,28.0,50.0,0.378,9.7,400.0,115.0,940.0,116.70282360826918,2010.0,Rams,-0.04,43.80%,ron bartell,ronald bartell,ronald bartell,43,Ronald Bartell,SL,CB,852,2267,15,5,0,1,26,0,68.4,68.4,88.4,62.1,0,0,11.1,7,6,6,75.9,50,810,550,2,16,51,2,96,2,540,2010,58276.8,MISSING,ronald bartell
639.0,639.0,2010.0,Colts,CB,Kelvin Hayden,00-0023495,5.0,2005.0,2005.0,Colts,27.0,60.0,0.327,8.5,300.0,88.49,844.0,99.67398642017086,2010.0,Colts,0.06,58.80%,kelvin hayden,kelvin hayden,kelvin hayden,44,Kelvin Hayden,IND,CB,666,2277,11,10,0,1,14,0,76.2,75.0,55.3,55.1,2,2,12.7,8,4,4,92.6,38,569,380,14,16,45,3,57,3,438,2010,49950.0,MISSING,kelvin hayden
1786.0,1786.0,2010.0,Steelers,CB,Bryant McFadden,00-0023497,5.0,2005.0,2005.0,Steelers,28.0,62.0,0.316,8.3,284.0,83.98,827.0,96.5969475502221,2010.0,Steelers,0.18,73.70%,bryant mcfadden,bryant mcfadden,bryant mcfadden,45,Bryant McFadden,PIT,CB,961,2279,19,5,0,1,25,0,54.0,58.1,88.7,72.9,2,0,5.8,5,6,4,98.5,81,854,643,9,26,76,0,120,6,877,2010,55834.1,MISSING,bryant mcfadden
1844.0,1844.0,2010.0,Texans,CB,Karl Paymah,00-0023511,5.0,2005.0,2005.0,Broncos,27.0,76.0,0.257,7.0,210.0,61.18,719.0,79.41298059989197,2010.0,Texans,-0.04,37.50%,karl paymah,karl paymah,karl paymah,46,Karl Paymah,HST,CB,1,2293,1,0,0,0,13,0,60.0,60.4,64.5,MISSING,0,0,MISSING,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,2010,60.4,MISSING,karl paymah
911.0,911.0,2010.0,Eagles,CB,Ellis Hobbs,00-0023519,5.0,2005.0,2005.0,Patriots,27.0,84.0,0.234,6.4,170.0,51.29,667.0,71.65015808253408,2010.0,Eagles,0.01,58.80%,ellis hobbs,ellis hobbs,ellis hobbs,47,Ellis Hobbs,PHI,CB,452,2301,7,0,0,0,24,0,48.2,48.2,7.7,34.5,1,0,13.6,3,3,5,102.2,19,399,275,3,4,19,0,36,4,265,2010,21786.4,MISSING,ellis hobbs
583.0,583.0,2010.0,Chiefs,CB,Travis Daniels,00-0023539,5.0,2005.0,2005.0,Dolphins,27.0,104.0,0.187,5.0,86.0,32.98,554.0,55.17854412248494,2010.0,Chiefs,0.05,58.80%,travis daniels,travis daniels,travis daniels,48,Travis Daniels,KC,CB,78,2321,8,1,1,0,16,0,67.9,63.6,0.0,81.8,1,0,0.0,0,1,2,12.1,4,25,58,31,1,5,0,10,0,39,2010,4960.8,MISSING,travis daniels
1909.0,1909.0,2010.0,Titans,CB,Vincent Fuller,00-0023543,5.0,2005.0,2005.0,Titans,28.0,108.0,0.179,4.8,78.0,30.17,534.0,52.69838474529005,2010.0,Titans,-0.03,37.50%,vincent fuller,vincent fuller,vincent fuller,49,Vincent Fuller,TEN,CB,336,2325,11,2,0,0,31,0,60.4,59.5,84.1,64.6,1,0,9.7,3,1,0,103.3,26,1,239,296,7,26,1,33,1,310,2010,19992.0,MISSING,vincent fuller
1225.0,1225.0,2010.0,Lions,CB,Eric King,00-0023589,5.0,2005.0,2005.0,Bills,28.0,156.0,0.113,2.4,29.0,10.36,341.0,30.05502765320252,2010.0,Lions,-0.01,37.50%,eric king,eric king,eric king,50,Eric King,DET,CB,112,2373,6,0,0,0,11,0,60.5,63.3,80.1,38.6,0,0,30.0,3,0,0,94.9,5,27,82,79,2,7,1,7,0,56,2010,7089.599999999999,MISSING,eric king
1606.0,1606.0,2010.0,Ravens,CB,Chris Carr,00-0023008,5.0,2005.0,2005.0,MISSING,27.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Ravens,0.06,72.20%,chris carr,chris carr,chris carr,51,Chris Carr,BLT,CB,1131,2526,18,4,0,2,3,1,78.9,77.0,89.2,60.3,2,0,11.5,9,4,1,77.6,62,464,698,540,23,65,4,100,3,533,2010,87087.0,MISSING,chris carr
