player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Carl Nassib,10699,ED,TB,15,4,1,0.0,0,2,30,0,0,73.8,68.7,59.0,61.4,69.3,42.1,7,14,0,0,,21.9,7,1,3,39.6,0,6,0,16,0,13,598,582,0,11,534,37,0,16,346,239,0,22,21,8,1,27,0,0,0,
Maliek Collins,10701,DI,DAL,13,4,0,,0,0,9,1,0,57.3,63.1,86.5,61.8,61.1,75.6,5,21,0,0,,6.3,1,0,0,0.0,0,3,0,0,0,0,498,498,21,351,3,123,0,0,340,158,0,9,11,2,0,29,0,0,0,
Will Redmond,10702,S,GB,2,0,0,,0,0,12,0,0,60.0,66.3,69.0,66.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,5,1,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,0,0,
Yannick Ngakoue,10703,ED,JAX,16,5,1,100.0,1,0,15,0,0,59.2,72.7,58.5,76.8,59.0,29.9,24,30,0,0,7,26.9,7,0,4,95.8,1,10,0,18,1,13,766,747,0,0,745,2,0,19,497,256,0,21,14,3,1,64,0,7,7,7.0
Bronson Kaufusi,10704,ED,NYJ,3,0,1,,0,0,22,0,0,,44.1,77.7,50.7,45.6,,1,1,0,0,,,0,0,0,0.0,0,0,0,1,0,0,45,44,0,18,26,0,0,1,35,10,0,0,0,0,0,2,0,0,0,
Darian Thompson,10705,S,DAL,1,0,0,,0,0,9,0,0,,60.0,62.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,
Jonathan Bullard,10706,DI,CHI,16,4,2,,0,0,6,0,0,,60.7,61.8,58.0,63.2,29.0,0,12,0,0,,15.0,3,0,1,0.0,0,0,0,0,0,0,298,298,4,184,12,98,0,0,197,101,0,9,13,2,0,12,0,0,0,
KeiVarae Russell,10708,CB,CIN,6,0,0,83.3,0,0,7,0,0,55.3,55.6,79.4,,55.7,52.5,0,0,0,0,47,14.3,2,0,0,126.9,15,0,0,19,101,84,137,1,0,0,1,0,0,136,0,53,16,1,12,0,18,0,1,180,67,12.0
Shilique Calhoun,10709,ED,OAK,7,4,0,,1,0,23,0,0,60.4,55.0,17.1,58.1,60.5,64.5,1,4,0,0,,8.3,1,0,2,0.0,0,0,0,1,0,3,138,137,0,2,128,7,0,1,68,67,0,5,7,2,0,5,0,0,0,
Daryl Worley,10711,CB,OAK,10,3,0,59.1,0,0,23,0,0,51.1,55.6,85.0,,67.3,52.8,0,0,0,1,42,15.0,6,6,0,113.6,26,0,0,59,420,246,505,9,0,0,9,0,0,496,0,259,17,8,31,4,44,0,6,340,61,13.1
Adolphus Washington,10714,DI,CIN,5,2,0,,0,0,7,0,0,,71.9,81.7,67.3,67.3,49.8,1,4,0,0,,22.2,2,0,0,0.0,0,1,0,0,0,0,134,134,13,106,1,14,0,0,71,63,0,5,5,0,0,6,0,0,0,
Jordan Jenkins,10717,ED,NYJ,16,8,0,81.8,0,1,22,2,0,43.8,52.4,44.9,60.6,53.8,53.6,8,20,0,0,50,9.1,3,0,4,141.7,9,7,0,4,0,56,660,652,0,4,641,7,0,8,328,276,4,19,22,2,11,35,1,118,91,13.1
Kendall Fuller,10718,CB,KC,15,10,0,68.4,2,1,16,0,0,70.2,71.7,87.2,51.0,74.0,59.4,0,1,0,2,42,14.0,14,7,6,90.4,67,0,0,91,221,696,1078,6,0,0,6,0,17,1072,18,364,743,26,76,3,98,1,2,778,350,11.6
Leonte Carroo,10720,WR,MIA,1,0,0,,0,0,17,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Nick Vigil,10721,LB,CIN,11,9,0,83.1,1,0,7,1,0,59.1,60.0,83.7,47.1,63.9,54.1,1,6,0,0,44,11.0,10,3,1,103.7,49,0,0,496,14,374,672,70,0,0,70,0,7,602,53,245,85,35,72,5,59,7,0,524,373,10.7
Kyler Fackrell,10722,ED,GB,16,9,1,44.4,0,0,12,0,0,72.7,69.5,75.6,69.0,58.5,44.5,2,10,0,0,13,17.5,7,0,1,51.6,4,11,0,18,1,128,626,594,0,6,584,4,0,32,243,255,10,27,24,2,9,23,0,26,21,6.5
Javon Hargrave,10723,DI,PIT,16,12,1,,0,0,25,0,0,81.2,80.6,39.2,71.5,78.5,75.0,1,13,0,0,,4.8,2,0,3,0.0,0,7,0,1,0,2,455,454,233,207,2,12,0,1,243,210,0,27,28,2,0,21,0,0,0,
Brandon Williams,10726,CB,ARZ,3,0,0,57.1,0,0,1,0,0,55.7,49.3,82.0,,35.9,28.1,0,0,0,0,39,37.5,3,2,0,136.9,4,0,0,15,63,46,86,0,0,0,0,0,3,86,0,40,4,1,5,1,7,0,1,80,33,20.0
Vincent Valentine,10730,DI,ARZ,3,0,0,,0,0,1,0,0,,57.3,77.9,59.9,55.9,67.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,43,43,14,28,0,1,0,0,19,24,0,1,1,0,0,0,0,0,0,
