Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,age,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_defense,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
Seahawks,2013,22.771954692556633,593.9263233558316,0.22,84.20%,29.0,28.101040763226365,17.479618386817,3.533824804856895,2.388551604509974,1.222896790980052,3.9111014744145707,1.2480485689505638,78.61964440589767,17.810971379011274,80.55776235906332,68.93490893321768,75.86071118820468,12.545967042497832,39.17996530789245,13.042454466608847,3.267562879444926,7.706851691240243,8.61968777103209,2306.0,446.2918473547268,193.85862966175196,631.6712922810061,123.37033824804857,424.02471812662617,20.684301821335644,17.742411101474413,3.6357328707718994,60.34562012142238,52391.44757155247,0.0
Seahawks,2014,17.009394736842104,793.4651460133039,0.21,73.70%,29.0,27.542575071986835,18.16330728095434,5.327437268613739,0.34841628959276016,0.9440559440559441,0.9440559440559441,0.34841628959276016,72.54257507198683,22.4627313862608,75.27671740024682,69.53924310983136,38.37844508432744,14.048951048951048,48.55902920608803,24.606746194981493,8.72151378033731,9.689016865487453,6.183874948580831,2431.0,509.03661044837514,287.43233237350887,776.0937885643768,130.8329905388729,535.7219251336899,24.538050185109007,22.78403948992184,7.0633484162895925,68.7918552036199,59684.47856849033,0.0
Seahawks,2015,19.10462311557789,813.6692156165954,0.19,61.10%,29.0,27.405025553662693,17.848807495741056,7.544718909710392,3.0724020442930153,1.9373935264054514,1.9114139693356047,0.0,75.84318568994888,37.08965076660988,75.26307495741057,70.92244463373083,46.37661839863715,13.514054514480408,44.310051107325386,21.416865417376492,11.289608177172061,7.456132879045996,9.324531516183987,2348.0,473.0217206132879,261.18100511073254,736.9591141396934,480.015332197615,143.88713798977852,32.92248722316865,31.155025553662693,9.485519591141397,67.14863713798978,58958.18526405451,0.0
Seahawks,2016,17.129368197333676,0.0,0.07,64.70%,29.0,27.02384243261921,16.07118175535591,4.9433310297166555,1.0245335176226675,0.6997235659986178,2.2702142363510713,0.4108500345542502,70.19398756046994,36.26993780234968,69.34789219073947,70.64105044920525,46.970490670352454,10.787145818935729,37.12232204561161,19.510573600552867,6.234623358673117,6.109191430545957,10.000345542501728,2894.0,445.9308914996545,261.0120939875605,705.8420870767104,544.3607463718038,87.39737387698688,26.325846579129234,21.39426399447132,4.644436765722184,57.909813407049064,51168.939322736696,0.0
Seahawks,2017,16.483917365269463,1128.8744983843503,0.06,56.30%,29.0,27.329692556634303,13.934870550161813,4.343446601941747,1.0772653721682848,1.4292071197411003,0.857200647249191,0.2993527508090615,64.56868932038836,29.407847896440128,68.11338996763753,64.05485436893204,51.90946601941748,8.758495145631068,30.5542071197411,18.96577669902913,5.282362459546926,8.288430420711974,7.451456310679611,2472.0,400.9644012944984,236.59142394822007,636.2677993527508,463.59830097087377,99.83778317152104,21.136326860841425,18.311893203883496,5.124595469255663,46.76415857605178,41896.33341423948,0.0
Seahawks,2018,9.858745485327315,1188.2987514327872,0.1,58.80%,29.0,25.197841726618705,14.115107913669064,3.589478417266187,0.6924460431654677,0.0,1.2221223021582734,0.7558453237410072,64.61596223021584,74.85804856115108,65.65553057553957,62.6464928057554,46.46749100719424,5.803057553956834,18.218974820143885,24.44689748201439,6.773830935251799,0.989658273381295,5.495503597122302,2224.0,240.12679856115108,167.61960431654677,424.50359712230215,397.3938848920863,18.433902877697843,15.125,17.18345323741007,2.1780575539568345,29.517535971223023,31685.53125,0.0
Seahawks,2019,16.951992561105207,1425.8944000407855,-0.001,66.70%,29.0,25.314763231197773,13.380222841225626,3.2316620241411327,1.5756731662024142,0.15691736304549675,1.915506035283194,1.128597957288765,65.28505106778087,48.23899721448468,61.004828226555254,63.84795728876509,45.69517177344475,4.4271123491179205,18.060352831940577,17.896285979572887,4.011142061281337,3.358867223769731,2.7135561745589603,2154.0,299.61095636026,144.322191272052,452.0617455896007,347.66341689879295,74.06453110492107,14.061745589600744,15.051996285979573,2.1652739090064994,25.201021355617456,31145.731197771587,0.0
Seahawks,2020,16.86629011099899,1437.2063405170586,0.06,70.60%,29.0,28.351246537396122,12.698060941828254,3.840443213296399,1.6304709141274238,0.9207756232686981,0.9207756232686981,0.31634349030470915,62.170138504155126,55.47030470914128,62.39534626038782,58.91108033240997,54.2791135734072,6.554570637119114,17.082548476454292,16.156786703601107,3.6515235457063713,2.612742382271468,5.3728531855955675,1805.0,311.51634349030473,131.41495844875345,462.4271468144044,449.53240997229915,7.679224376731302,13.99168975069252,13.652631578947368,2.4759002770083103,29.009972299168975,28483.981994459835,64.58989986939487
Seahawks,2021,9.96376876712329,1335.9659356206053,0.018,41.20%,29.0,27.150247660979637,16.085580627407815,7.914144193725922,1.6450192625206383,0.20418271876719868,0.48679141441937257,0.27958172812328014,56.838855255916336,64.90415520088057,57.75943863511283,57.86518987341771,46.01510731975784,5.971656576774904,16.124931205283435,16.83607594936709,5.953769950467804,1.7842597688497523,4.8648871766648325,3634.0,313.0225646670336,208.40588882773804,552.5985140341222,381.5910842047331,114.29746835443038,17.30187121629059,21.01623555310952,2.135938359933957,26.96147495872317,31479.238690148595,60.44617909048288
Seahawks,2022,13.46764121037464,1212.5758397006377,-0.019,50.00%,29.0,26.213093145869948,15.330404217926187,9.356326889279437,1.4042179261862917,0.6098418277680141,2.0421792618629175,1.0070298769771528,65.67359402460457,39.933128295254825,66.14885764499122,64.50975395430581,50.29565026362038,7.921353251318102,20.077328646748683,16.161203866432334,6.836994727592267,4.557996485061511,7.3624780316344465,2276.0,298.6902460456942,259.99340949033393,597.7948154657294,597.145869947276,0.44024604569420034,27.25439367311072,27.084797891036906,3.5922671353251316,35.36115992970123,41556.465070298764,65.66424216027873
